Loc/Exp Rank	Ensembl	Gene Name	HPA Ab	Loc pvalue	Int pvalue.	Accuracy	Validation Marker	Loc rank
1	ENSG00000018699	TTC27	HPA031246	1.89E-01	8.91E-01	0.843	0	14
2	ENSG00000111790	FGFR1OP2	HPA038696	1.45E-01	8.30E-01	0.888	0	2
3	ENSG00000143374	TARS2	HPA028626	2.49E-01	9.63E-01	0.534	0	51
4	ENSG00000144681	STAC	HPA035143	1.94E-01	8.30E-01	0.707	0	17
5	ENSG00000120693	-	CAB009119	1.99E-01	8.21E-01	0.716	0	18
6	ENSG00000153303	FRMD1	HPA030346	1.57E-01	7.79E-01	0.702	0	5
7	ENSG00000130338	TULP4	HPA005445	2.49E-01	8.79E-01	0.663	0	52
8	ENSG00000073969	NSF	CAB009324	2.71E-01	9.31E-01	0.751	0	79
9	ENSG00000158816	VWA5B1	HPA028405	2.83E-01	9.48E-01	0.61	0	94
10	ENSG00000116016	EPAS1	CAB012248	2.11E-01	8.01E-01	0.913	0	26
11	ENSG00000105854	PON2	CAB025430	2.83E-01	9.26E-01	0.658	0	95
12	ENSG00000112246	SIM1	HPA002084	2.61E-01	8.64E-01	0.544	0	66
13	ENSG00000101977	MCF2	CAB010423	2.91E-01	9.06E-01	0.489	0	112
14	ENSG00000138777	PPA2	HPA031671	2.34E-01	7.99E-01	0.749	1	38
15	ENSG00000138835	RGS3	CAB032507	2.92E-01	8.77E-01	0.721	0	116
16	ENSG00000153147	SMARCA5	HPA008751	2.48E-01	8.03E-01	0.606	0	50
17	ENSG00000176890	TYMS	CAB002784	3.15E-01	9.63E-01	0.699	0	161
18	ENSG00000164543	STK17A	HPA037979	3.13E-01	9.10E-01	0.487	0	153
19	ENSG00000050327	ARHGEF5	HPA020980	1.74E-01	7.24E-01	0.748	0	9
20	ENSG00000131899	LLGL1	HPA023569	2.21E-01	7.58E-01	0.792	0	29
21	ENSG00000099899	TRMT2A	HPA001077	3.23E-01	9.40E-01	0.627	0	183
22	ENSG00000107968	MAP3K8	HPA017962	3.15E-01	9.04E-01	0.623	0	158
23	ENSG00000167778	SPRYD3	HPA039426	2.91E-01	8.44E-01	0.614	0	111
24	ENSG00000171345	KRT19	HPA002465	2.75E-01	8.18E-01	0.498	0	82
25	ENSG00000112339	HBS1L	HPA029729	3.19E-01	8.98E-01	0.617	0	172
26	ENSG00000147548	WHSC1L1	CAB013721	2.90E-01	8.31E-01	0.513	0	107
27	ENSG00000124535	WRNIP1	HPA031752	3.25E-01	9.14E-01	0.66	0	188
28	ENSG00000163947	ARHGEF3	HPA034715	2.66E-01	7.90E-01	0.836	1	74
29	ENSG00000073969	NSF	CAB013645	3.34E-01	9.40E-01	0.604	0	209
30	ENSG00000112309	B3GAT2	HPA012059	3.22E-01	8.86E-01	0.684	0	181
31	ENSG00000131351	HAUS8	HPA039406	2.28E-01	7.45E-01	0.669	0	35
32	ENSG00000145020	AMT	HPA005566	2.46E-01	7.62E-01	0.507	0	43
33	ENSG00000150093	ITGB1	CAB003434	3.04E-01	8.38E-01	0.632	0	142
34	ENSG00000129636	ITFG1	HPA015590	3.44E-01	9.53E-01	0.573	0	228
35	ENSG00000135298	BAI3	HPA015963	1.84E-01	7.06E-01	0.658	0	11
36	ENSG00000044574	HSPA5	CAB005221	2.89E-01	8.06E-01	0.807	0	105
37	ENSG00000130811	EIF3G	HPA041997	2.67E-01	7.75E-01	0.61	0	75
38	ENSG00000163605	PPP4R2	HPA034695	3.28E-01	8.77E-01	0.432	0	194
39	ENSG00000184916	JAG2	CAB025481	2.98E-01	8.15E-01	0.696	0	130
40	ENSG00000061337	LZTS1	HPA006294	3.29E-01	8.71E-01	0.463	0	197
41	ENSG00000189283	FHIT	HPA018909	2.97E-01	8.08E-01	0.788	0	127
42	ENSG00000173546	CSPG4	HPA002951	2.01E-01	7.08E-01	0.839	0	19
43	ENSG00000121690	DEPDC7	HPA015800	2.64E-01	7.60E-01	0.688	0	70
44	ENSG00000135241	PNPLA8	HPA020083	1.48E-01	6.75E-01	0.842	0	3
45	ENSG00000119772	DNMT3A	HPA026588	3.57E-01	9.49E-01	0.479	0	245
46	ENSG00000104368	PLAT	CAB009335	3.13E-01	8.19E-01	0.437	0	154
47	ENSG00000204290	BTNL2	HPA039844	2.80E-01	7.66E-01	0.622	0	86
48	ENSG00000144224	UBXN4	HPA036325	3.64E-01	9.63E-01	0.547	0	258
49	ENSG00000160345	C9orf116	HPA021439	3.65E-01	9.54E-01	0.588	0	259
50	ENSG00000111716	LDHB	CAB004641	3.07E-01	7.96E-01	0.682	1	148
51	ENSG00000154723	ATP5J	HPA031069	3.07E-01	7.88E-01	0.627	0	149
52	ENSG00000172590	MRPL52	HPA012319	3.32E-01	8.27E-01	0.698	0	204
53	ENSG00000158828	PINK1	CAB026191	3.13E-01	7.94E-01	0.637	0	155
54	ENSG00000035403	VCL	HPA002131	3.64E-01	9.11E-01	0.631	0	256
55	ENSG00000145147	SLIT2	CAB007590	3.66E-01	8.93E-01	0.583	0	261
56	ENSG00000008294	SPAG9	HPA040446	2.62E-01	7.22E-01	0.546	0	68
57	ENSG00000105856	HBP1	CAB032824	3.33E-01	8.08E-01	0.507	0	206
58	ENSG00000146477	SLC22A3	HPA029750	2.22E-01	6.85E-01	0.755	0	32
59	ENSG00000113719	ERGIC1	HPA018900	2.96E-01	7.51E-01	0.73	0	124
60	ENSG00000059769	DNAJC25	HPA019122	3.71E-01	8.86E-01	0.6	0	271
61	ENSG00000166484	MAPK7	CAB018561	3.37E-01	8.07E-01	0.647	0	215
62	ENSG00000174021	GNG5	CAB032623	2.90E-01	7.40E-01	0.608	0	109
63	ENSG00000141258	SGSM2	HPA021641	3.76E-01	8.95E-01	0.567	0	280
64	ENSG00000142507	PSMB6	HPA023312	2.91E-01	7.39E-01	0.626	0	113
65	ENSG00000198824	ZNF828	HPA008900	3.61E-01	8.42E-01	0.598	0	252
66	ENSG00000141378	PTRH2	HPA012897	2.86E-01	7.27E-01	0.708	0	102
67	ENSG00000105499	PLA2G4C	HPA043083	3.46E-01	8.03E-01	0.408	0	231
68	ENSG00000175416	CLTB	CAB003692	3.16E-01	7.58E-01	0.653	0	162
69	ENSG00000213930	GALT	HPA005729	3.37E-01	7.86E-01	0.447	0	214
70	ENSG00000161533	ACOX1	HPA021192	2.93E-01	7.26E-01	0.633	0	120
71	ENSG00000185681	MORN5	HPA020930	2.98E-01	7.31E-01	0.535	0	129
72	ENSG00000151694	ADAM17	CAB025906	3.33E-01	7.75E-01	0.611	0	207
73	ENSG00000173662	TAS1R1	HPA034580	2.47E-01	6.77E-01	0.613	0	45
74	ENSG00000075624	ACTB	CAB002621	2.96E-01	7.20E-01	0.665	0	123
75	ENSG00000197969	VPS13A	HPA021652	3.02E-01	7.25E-01	0.574	0	137
76	ENSG00000185122	HSF1	HPA008888	4.08E-01	9.73E-01	0.471	0	330
77	ENSG00000169019	COMMD8	HPA035887	3.84E-01	8.54E-01	0.562	0	289
78	ENSG00000144136	SLC20A1	CAB019279	3.68E-01	8.18E-01	0.731	0	266
79	ENSG00000173599	PC	CAB033742	1.71E-01	6.24E-01	0.849	0	8
80	ENSG00000124140	SLC12A5	HPA004942	3.82E-01	8.42E-01	0.666	1	286
81	ENSG00000116604	-	HPA004807	3.93E-01	8.67E-01	0.526	0	305
82	ENSG00000111057	KRT18	HPA001605	3.60E-01	7.92E-01	0.635	0	249
83	ENSG00000121749	TBC1D15	HPA015592	3.21E-01	7.35E-01	0.717	0	177
84	ENSG00000143621	ILF2	HPA007484	3.92E-01	8.60E-01	0.445	0	303
85	ENSG00000120948	TARDBP	CAB003703	3.92E-01	8.58E-01	0.616	0	302
86	ENSG00000144857	BOC	CAB025806	4.17E-01	9.67E-01	0.546	0	340
87	ENSG00000143256	PFDN2	HPA028700	2.21E-01	6.45E-01	0.79	0	30
88	ENSG00000140403	DNAJA4	CAB004646	3.45E-01	7.63E-01	0.602	0	230
89	ENSG00000141385	AFG3L2	HPA004479	2.56E-01	6.69E-01	0.62	0	60
90	ENSG00000037042	TUBG2	CAB011495	4.03E-01	8.79E-01	0.52	0	322
91	ENSG00000146067	FAM193B	HPA035848	4.19E-01	9.63E-01	0.532	0	343
92	ENSG00000151725	MLF1IP	HPA022048	4.16E-01	9.16E-01	0.612	0	338
93	ENSG00000135914	HTR2B	CAB011448	3.93E-01	8.21E-01	0.659	0	306
94	ENSG00000112081	SRSF3	CAB012986	3.82E-01	7.96E-01	0.536	0	285
95	ENSG00000171282	AC110285.1	HPA023386	4.23E-01	9.02E-01	0.463	0	345
96	ENSG00000159658	KIAA0494	HPA011224	3.39E-01	7.29E-01	0.787	0	219
97	ENSG00000010256	UQCRC1	HPA002815	3.96E-01	8.16E-01	0.496	0	310
98	ENSG00000171155	C1GALT1C1	HPA015632	4.02E-01	8.24E-01	0.5	0	320
99	ENSG00000167085	PHB	HPA003280	3.18E-01	6.97E-01	0.644	0	168
100	ENSG00000127616	SMARCA4	CAB004208	3.15E-01	6.91E-01	0.607	0	160
101	ENSG00000186976	EFCAB6	HPA003098	3.22E-01	6.98E-01	0.655	0	182
102	ENSG00000164841	TMEM74	HPA015672	3.48E-01	7.27E-01	0.794	0	236
103	ENSG00000124193	SRSF6	CAB034889	3.88E-01	7.81E-01	0.536	0	299
104	ENSG00000075945	KIFAP3	HPA023742	3.46E-01	7.18E-01	0.666	0	233
105	ENSG00000156735	BAG4	CAB013716	2.38E-01	6.21E-01	0.641	0	40
106	ENSG00000123595	RAB9A	HPA003094	2.15E-01	6.08E-01	0.662	0	27
107	ENSG00000149480	MTA2	CAB005315	3.97E-01	7.92E-01	0.499	0	313
108	ENSG00000111837	MAK	HPA039092	3.25E-01	6.88E-01	0.701	0	192
109	ENSG00000180891	CUEDC1	HPA023050	3.85E-01	7.59E-01	0.562	0	293
110	ENSG00000125492	BARHL1	HPA004809	3.44E-01	7.01E-01	0.621	0	227
111	ENSG00000206418	RAB12	HPA040727	4.51E-01	9.26E-01	0.607	0	366
112	ENSG00000100319	ZMAT5	HPA004858	2.97E-01	6.45E-01	0.722	0	126
113	ENSG00000178187	ZNF454	HPA024556	3.64E-01	7.15E-01	0.595	0	257
114	ENSG00000146701	MDH2	HPA019714	4.41E-01	8.57E-01	0.61	0	362
115	ENSG00000125954	FNTB	CAB009260	3.67E-01	7.13E-01	0.72	0	264
116	ENSG00000006695	COX10	HPA032006	2.08E-01	5.83E-01	0.917	0	24
