Loc/Exp Rank	Ensembl	Gene Name	HPA Ab	Loc pvalue	Int pvalue.	Accuracy	Validation Marker	Loc rank
1	ENSG00000141295	SCRN2	HPA023434	2.37E-01	9.48E-01	0.687	0	60
2	ENSG00000204290	BTNL2	HPA039844	2.41E-01	9.48E-01	0.587	0	71
3	ENSG00000152229	PSTPIP2	HPA040944	2.79E-01	9.48E-01	0.575	0	166
4	ENSG00000103194	USP10	HPA006749	2.72E-01	9.01E-01	0.578	0	134
5	ENSG00000111696	NT5DC3	HPA041634	2.70E-01	8.88E-01	0.619	0	130
6	ENSG00000015171	ZMYND11	HPA030553	1.88E-01	7.70E-01	0.735	0	18
7	ENSG00000132002	DNAJB1	CAB017450	1.78E-01	7.55E-01	0.659	0	14
8	ENSG00000166526	ZNF3	HPA003719	3.16E-01	9.14E-01	0.55	0	278
9	ENSG00000152229	PSTPIP2	HPA040923	2.97E-01	8.44E-01	0.556	0	215
10	ENSG00000172939	OXSR1	CAB017181	3.02E-01	8.48E-01	0.663	0	232
11	ENSG00000163644	PPM1K	HPA020066	3.10E-01	8.60E-01	0.483	0	260
12	ENSG00000065308	TRAM2	HPA035092	3.23E-01	8.76E-01	0.556	0	303
13	ENSG00000178301	AQP11	HPA042879	2.94E-01	8.05E-01	0.767	0	205
14	ENSG00000003056	M6PR	CAB034464	3.02E-01	7.98E-01	0.648	0	235
15	ENSG00000137275	RIPK1	CAB010302	3.03E-01	7.82E-01	0.657	0	240
16	ENSG00000182108	DEXI	HPA041511	3.73E-01	9.44E-01	0.594	0	443
17	ENSG00000133019	CHRM3	CAB010409	3.23E-01	7.90E-01	0.655	0	301
18	ENSG00000183137	CEP57L1	HPA040378	2.72E-01	7.27E-01	0.84	0	135
19	ENSG00000168658	VWA3B	HPA036701	2.85E-01	7.40E-01	0.608	0	179
20	ENSG00000112159	MDN1	HPA029669	2.99E-01	7.52E-01	0.51	0	225
21	ENSG00000114126	TFDP2	CAB018396	3.21E-01	7.80E-01	0.513	0	296
22	ENSG00000015133	CCDC88C	HPA005832	3.31E-01	7.89E-01	0.502	0	323
23	ENSG00000163848	ZNF148	CAB017486	2.61E-01	7.06E-01	0.71	0	113
24	ENSG00000100813	ACIN1	HPA000657	2.75E-01	7.18E-01	0.59	0	148
25	ENSG00000134369	NAV1	HPA018127	3.04E-01	7.47E-01	0.683	0	241
26	ENSG00000171097	CCBL1	HPA021176	3.22E-01	7.70E-01	0.665	0	298
27	ENSG00000120437	ACAT2	HPA025811	2.78E-01	7.17E-01	0.67	0	162
28	ENSG00000013275	PSMC4	HPA005471	2.95E-01	7.32E-01	0.602	0	208
29	ENSG00000154723	ATP5J	HPA031069	3.11E-01	7.45E-01	0.521	0	262
30	ENSG00000119421	NDUFA8	HPA041510	3.53E-01	7.98E-01	0.503	0	381
31	ENSG00000118200	CAMSAP1L1	HPA027302	3.88E-01	8.73E-01	0.637	0	485
