Loc/Exp Rank	Ensembl	Gene Name	HPA Ab	Loc pvalue	Int pvalue.	Accuracy	Validation Marker	Loc rank
1	ENSG00000014824	SLC30A9	HPA004014	1.51E-01	9.64E-01	0.811	0	8
2	ENSG00000144401	METTL21A	HPA034712	1.51E-01	8.69E-01	0.645	0	9
3	ENSG00000197826	C4orf22	HPA043383	1.88E-01	9.18E-01	0.646	0	24
4	ENSG00000127580	WDR24	HPA039506	1.63E-01	8.52E-01	0.668	0	12
5	ENSG00000059378	PARP12	HPA003584	2.22E-01	9.35E-01	0.778	0	49
6	ENSG00000010704	HFE	HPA017276	2.36E-01	9.55E-01	0.68	0	65
7	ENSG00000144357	UBR3	HPA035390	2.20E-01	8.85E-01	0.451	0	46
8	ENSG00000163466	ARPC2	HPA008352	2.49E-01	9.74E-01	0.702	0	77
9	ENSG00000107104	KANK1	HPA005539	2.28E-01	8.89E-01	0.654	0	57
10	ENSG00000147044	CASK	CAB001949	2.17E-01	8.65E-01	0.691	0	45
11	ENSG00000173662	TAS1R1	HPA034580	2.29E-01	8.73E-01	0.611	0	59
12	ENSG00000070718	AP3M2	CAB014876	2.65E-01	9.84E-01	0.708	0	110
13	ENSG00000035141	FAM136A	HPA030104	2.49E-01	9.02E-01	0.754	0	79
14	ENSG00000124713	GNMT	HPA027501	2.54E-01	9.06E-01	0.87	0	93
15	ENSG00000113013	HSPA9	CAB005219	2.64E-01	9.38E-01	0.693	0	108
16	ENSG00000172346	CSDC2	HPA003073	2.41E-01	8.73E-01	0.65	0	68
17	ENSG00000090581	GNPTG	HPA004055	2.23E-01	8.37E-01	0.665	0	51
18	ENSG00000185838	GNB1L	HPA034628	2.51E-01	8.85E-01	0.578	0	83
19	ENSG00000176533	GNG7	CAB018382	2.74E-01	9.51E-01	0.641	0	123
20	ENSG00000169474	SPRR1A	CAB011237	2.21E-01	8.23E-01	0.536	0	47
21	ENSG00000065308	TRAM2	HPA035092	2.14E-01	8.11E-01	0.672	0	41
22	ENSG00000100897	DCAF11	HPA031157	2.58E-01	8.78E-01	0.64	0	102
23	ENSG00000171103	TRMT61B	HPA026747	1.98E-01	7.87E-01	0.761	0	31
24	ENSG00000110880	CORO1C	HPA041737	2.78E-01	9.10E-01	0.49	0	129
25	ENSG00000115488	NEU2	CAB022336	2.94E-01	9.92E-01	0.643	0	169
26	ENSG00000197353	LYPD2	HPA028599	2.84E-01	9.17E-01	0.62	0	144
27	ENSG00000107537	PHYH	HPA007598	2.91E-01	9.31E-01	0.753	0	155
28	ENSG00000112494	UNC93A	HPA035729	2.96E-01	9.43E-01	0.472	0	170
29	ENSG00000161813	LARP4	HPA039673	2.98E-01	9.44E-01	0.684	0	177
30	ENSG00000171302	CANT1	HPA022818	2.91E-01	9.06E-01	0.633	0	159
