Loc/Exp Rank	Ensembl	Gene Name	HPA Ab	Loc pvalue	Int pvalue.	Accuracy	Validation Marker	Loc rank
1	ENSG00000113319	RASGRF2	HPA018679	1.45E-01	9.74E-01	0.899	0	4
2	ENSG00000117298	ECE1	HPA001490	1.63E-01	9.89E-01	0.766	0	6
3	ENSG00000048828	FAM120A	HPA019734	1.80E-01	9.45E-01	0.726	0	10
4	ENSG00000105499	PLA2G4C	HPA043083	1.93E-01	9.47E-01	0.692	0	17
5	ENSG00000166881	TMEM194A	HPA014394	1.33E-01	8.46E-01	0.789	0	2
6	ENSG00000198087	CD2AP	CAB004352	2.07E-01	9.76E-01	0.735	0	22
7	ENSG00000138594	TMOD3	HPA001849	1.94E-01	9.01E-01	0.718	0	18
8	ENSG00000103351	CLUAP1	HPA036976	2.20E-01	9.53E-01	0.563	0	29
9	ENSG00000177409	SAMD9L	HPA019488	2.30E-01	9.43E-01	0.822	0	34
10	ENSG00000106392	C1GALT1	HPA012819	2.48E-01	9.70E-01	0.495	0	53
11	ENSG00000138796	HADH	HPA039588	2.17E-01	8.72E-01	0.627	0	26
12	ENSG00000181789	COPG	HPA037867	2.52E-01	9.35E-01	0.667	0	66
13	ENSG00000069849	ATP1B3	CAB020697	2.63E-01	9.97E-01	0.58	0	83
14	ENSG00000154099	DNAAF1	HPA041166	2.54E-01	9.21E-01	0.586	0	69
15	ENSG00000171155	C1GALT1C1	HPA015632	2.10E-01	8.36E-01	0.659	0	24
16	ENSG00000126458	RRAS	CAB010160	2.49E-01	9.02E-01	0.791	0	56
17	ENSG00000111790	FGFR1OP2	HPA038696	1.68E-01	7.83E-01	0.769	0	7
18	ENSG00000006756	ARSD	HPA004694	2.74E-01	9.73E-01	0.527	0	99
19	ENSG00000141744	PNMT	CAB017029	2.39E-01	8.53E-01	0.802	0	43
20	ENSG00000011143	MKS1	HPA021812	2.60E-01	8.87E-01	0.744	0	75
21	ENSG00000120709	FAM53C	HPA042796	2.81E-01	9.55E-01	0.665	0	111
22	ENSG00000136628	EPRS	HPA030052	2.40E-01	8.45E-01	0.712	0	45
23	ENSG00000151247	EIF4E	CAB016316	2.84E-01	9.50E-01	0.555	0	117
24	ENSG00000149311	ATM	CAB000102	2.67E-01	8.81E-01	0.623	0	86
25	ENSG00000159363	ATP13A2	CAB037111	2.91E-01	9.47E-01	0.645	0	132
26	ENSG00000184735	DDX53	HPA003186	2.56E-01	8.52E-01	0.787	0	70
27	ENSG00000146701	MDH2	HPA026720	2.96E-01	9.84E-01	0.719	0	143
28	ENSG00000143373	ZNF687	HPA021193	2.86E-01	9.18E-01	0.573	1	121
29	ENSG00000100577	GSTZ1	HPA004701	2.93E-01	9.45E-01	0.754	0	136
30	ENSG00000006210	CX3CL1	HPA040361	2.97E-01	9.80E-01	0.727	0	147
31	ENSG00000064655	EYA2	HPA027024	2.96E-01	9.67E-01	0.537	0	144
32	ENSG00000161944	ASGR2	HPA014899	2.50E-01	8.36E-01	0.679	0	58
33	ENSG00000198040	ZNF84	HPA028860	3.01E-01	9.92E-01	0.626	0	157
34	ENSG00000086717	PPEF1	HPA034577	2.63E-01	8.52E-01	0.647	0	82
35	ENSG00000170854	MINA	HPA008080	3.02E-01	9.86E-01	0.604	0	163
36	ENSG00000143933	CALM2	CAB007790	3.02E-01	9.88E-01	0.586	0	164
37	ENSG00000185338	SOCS1	CAB010355	2.70E-01	8.59E-01	0.582	0	90
38	ENSG00000137955	RABGGTB	HPA027167	2.79E-01	8.68E-01	0.625	0	105
39	ENSG00000103978	TMEM87A	HPA018189	2.63E-01	8.37E-01	0.781	0	79
40	ENSG00000175262	C1orf127	HPA027654	2.81E-01	8.69E-01	0.683	0	109
41	ENSG00000163749	CCDC158	HPA026637	3.06E-01	9.46E-01	0.631	0	173
42	ENSG00000081138	CDH7	HPA010808	2.92E-01	8.93E-01	0.619	0	133
43	ENSG00000181234	TMEM132C	HPA015984	3.11E-01	9.78E-01	0.575	0	181
44	ENSG00000178803	C22orf45	HPA030441	3.00E-01	9.08E-01	0.794	0	154
45	ENSG00000127022	CANX	CAB004738	3.12E-01	9.51E-01	0.611	0	182
46	ENSG00000117174	-	HPA018132	3.18E-01	9.84E-01	0.598	0	198
47	ENSG00000124529	HIST1H4B	CAB021887	2.71E-01	8.32E-01	0.711	0	94
48	ENSG00000112218	GPR63	HPA039103	3.21E-01	9.97E-01	0.564	0	205
49	ENSG00000111335	OAS2	CAB024984	3.05E-01	8.98E-01	0.656	1	168
50	ENSG00000107897	ACBD5	HPA011861	3.18E-01	9.54E-01	0.518	0	200
51	ENSG00000105514	RAB3D	CAB018067	3.18E-01	9.35E-01	0.594	0	196
52	ENSG00000101057	MYBL2	CAB017114	3.15E-01	9.21E-01	0.617	1	192
53	ENSG00000184916	JAG2	CAB025481	3.24E-01	9.78E-01	0.677	0	214
54	ENSG00000051620	HEBP2	HPA016928	2.93E-01	8.60E-01	0.536	0	139
55	ENSG00000179115	FARSA	HPA001911	3.07E-01	8.90E-01	0.636	0	174
56	ENSG00000173540	GMPPB	HPA014657	3.27E-01	9.92E-01	0.547	0	218
57	ENSG00000206418	RAB12	HPA040727	2.46E-01	7.84E-01	0.59	0	51
58	ENSG00000130175	PRKCSH	CAB004465	2.74E-01	8.19E-01	0.555	0	98
59	ENSG00000139428	MMAB	HPA039017	2.84E-01	8.36E-01	0.605	0	118
60	ENSG00000141030	COPS3	HPA021997	3.29E-01	9.94E-01	0.535	0	221
61	ENSG00000069943	PIGB	HPA039929	3.28E-01	9.60E-01	0.616	0	219
62	ENSG00000111846	GCNT2	HPA026776	3.31E-01	9.92E-01	0.592	0	226
63	ENSG00000029725	RABEP1	HPA024691	1.89E-01	7.27E-01	0.867	0	13
