p-value	q-value	complex_name	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000135910923713	0.272011005264	26S Proteasome	BioCarta	RPN1; RPN2; PSMD4; PSMD11; PSMD14; PSMD3; PSMD12; PSMA2; PSMA3; PSMA6; PSMA7; PSMA4; PSMA5; PSMB7; PSMB5; PSMB4; PSMB3; PSMB2	5683; 5684; 5685; 5686; 5687; 5688; 5690; 5691; 5692; 5693; 5695; 5709; 5710; 5717; 5718; 6184; 6185; 10213	21	21
0.000147351573816	0.272011005264	Unwinding complex at replication fork	Reactome	GINS2; GINS3; GINS1; GINS4; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; CDC45	4171; 4172; 4173; 4174; 4175; 4176; 8318; 9837; 51659; 64785; 84296	11	11
0.000328833817773	0.404684818406	U1 snRNP	Reactome	SNRPA; SNRPD3; SNRPD2; SNRPD1; SNRPB; SNRPC; SNRNP70; SNRPF; SNRPG; SNRPE	6625; 6626; 6628; 6631; 6632; 6633; 6634; 6635; 6636; 6637	10	10
0.00163698807659	0.498140869923	6S methyltransferase and RG-containing Sm proteins complex	CORUM	SNRPD3; SNRPD2; SNRPD1; SNRPB; CLNS1A; SNRPF; SNRPG; SNRPE	1207; 6628; 6632; 6633; 6634; 6635; 6636; 6637	8	8
0.00163698807659	0.498140869923	FA complex (Fanconi anemia complex)	CORUM	FANCG; FANCF; FANCE; FANCC; FANCB; FANCA; FANCM; FANCL	2175; 2176; 2178; 2187; 2188; 2189; 55120; 57697	8	8
0.00174617488654	0.498140869923	Integrin signaling protein complex	INOH	COL10A1; ITGA9; COL11A1; COL11A2; ACAN; ITGA8; HSPG2; VCAN; ITGA5; BGN; ITGA7; AGRN; ITGA10; TLN2; COL2A1; LUM; DCN; NCAN; ITGA2B; SMC3; TNXB; TLN1; PXN; ITGA1; ITGB1; COL8A2; ITGB3; ELN; COL18A1; CD44; VCL; COL19A1; COL5A2; COL4A6; COL4A5; COL4A4; COL4A3; TNC; LAMC2; COL16A1; BCAN; COL15A1; COL7A1; SDC2; SDC3; ITGA4; ITGAL; ITGAM; COL6A1; GPC4; ACTB; COL6A2	60; 176; 633; 960; 1280; 1285; 1286; 1287; 1288; 1290; 1291; 1292; 1294; 1296; 1300; 1301; 1302; 1306; 1307; 1310; 1462; 1463; 1634; 2006; 2239; 3339; 3371; 3672; 3674; 3676; 3678; 3679; 3680; 3683; 3684; 3688; 3690; 3918; 4060; 5829; 6383; 7094; 7148; 7414; 8515; 8516; 9126; 9672; 63827; 80781; 83660; 375790	85	85
0.00214365625735	0.498140869923	FA complex (Fanconi anemia complex)	CORUM	FANCG; BLM; FANCF; FANCE; FANCC; FANCB; FANCA; FANCL; TOP3A; RMI1	641; 2175; 2176; 2178; 2187; 2188; 2189; 7156; 55120; 80010	11	11
0.00214365625735	0.498140869923	BRAFT complex	CORUM	FANCG; RPA3; RPA2; BLM; FANCF; FANCE; FANCC; FANCA; FANCL; TOP3A	641; 2175; 2176; 2178; 2188; 2189; 6118; 6119; 7156; 55120	11	11
0.00267820474969	0.498140869923	Emerin complex 24	CORUM	EMD; LMNB1; RBL2; HIST1H3C; C1QBP; NMI; HIST1H3B; MCM6; MCM4; HIST1H3F; MCM2; HIST1H3D; HIST1H3J; LMNA; HIST1H3I; HIST1H3H; SAP130; HIST1H3G	708; 2010; 4000; 4001; 4171; 4173; 4175; 5934; 8351; 8352; 8354; 8355; 8356; 8357; 8358; 8968; 9111; 79595	24	24
0.00332584150002	0.498140869923	ASF1-histone containing complex	CORUM	NASP; HIST1H3B; HIST1H3C; HIST1H3F; ST13; HIST1H3D; CHAF1B; HIST1H3J; HIST1H3H; HIST1H3I; CHEK2; ASF1B; HIST1H3G	4678; 6767; 8208; 8351; 8352; 8354; 8355; 8356; 8357; 8358; 8968; 11200; 55723	16	16
0.00335566436369	0.498140869923	ECM proteins:Integrin alpha:Integrin beta:Cav-1:Fyn:Shc	INOH	COL10A1; ITGA9; COL11A1; COL11A2; ACAN; ITGA8; HSPG2; VCAN; ITGA5; BGN; ITGA7; AGRN; ITGA10; COL2A1; LUM; CAV1; DCN; NCAN; ITGA2B; SMC3; FYN; ITGA1; ITGB1; COL8A2; ITGB3; ELN; SHC2; COL18A1; CD44; COL19A1; COL5A2; COL4A6; COL4A5; COL4A4; COL4A3; TNC; LAMC2; COL16A1; BCAN; COL15A1; TNXB; COL7A1; SDC2; SDC3; ITGA4; ITGAL; ITGAM; COL6A1; GPC4; COL6A2	176; 633; 857; 960; 1280; 1285; 1286; 1287; 1288; 1290; 1291; 1292; 1294; 1296; 1300; 1301; 1302; 1306; 1307; 1310; 1462; 1463; 1634; 2006; 2239; 2534; 3339; 3371; 3672; 3674; 3676; 3678; 3679; 3680; 3683; 3684; 3688; 3690; 3918; 4060; 6383; 7148; 8515; 8516; 9126; 9672; 25759; 63827; 80781; 375790	83	83
0.00365168159403	0.498140869923	60S APC containing complex	CORUM	TUBA1C; TUBA1B; TUBA1A; TUBG1; TUBG2; APC; IQGAP1	324; 7283; 7846; 8826; 10376; 27175; 84790	7	7
0.00365168159403	0.498140869923	Chromosomal passenger complex/Cul3 protein complex	PID	INCENP; KLHL13; BIRC5; AURKB; CDCA8; CUL3; KLHL9	332; 3619; 8452; 9212; 55143; 55958; 90293	7	7
0.00365168159403	0.498140869923	FA complex/FANCD2/Ubiquitin	PID	FANCA; FANCG; FANCF; FANCE; FANCC; FANCD2; FANCL	2175; 2176; 2177; 2178; 2188; 2189; 55120	7	7
0.00365168159403	0.498140869923	FA core complex (Fanconi anemia core complex)	CORUM	FANCG; FANCF; FANCE; FANCC; FANCB; FANCA; FANCM	2175; 2176; 2178; 2187; 2188; 2189; 57697	7	7
0.00365168159403	0.498140869923	IGF-1:IGFBP	INOH	IGF1; IGFBP2; IGFBP3; IGFBP1; IGFBP6; IGFBP4; IGFBP5	3479; 3484; 3485; 3486; 3487; 3488; 3489	7	7
0.00365168159403	0.498140869923	MCM.complex	Spike	MCM10; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2	4171; 4172; 4173; 4174; 4175; 4176; 55388	7	7
0.00365168159403	0.498140869923	PA700 Activator	BioCarta	RPN1; RPN2; PSMD4; PSMD11; PSMD3; PSMD12; PSMD14	5709; 5710; 5717; 5718; 6184; 6185; 10213	7	7
0.00365168159403	0.498140869923	U4 ATAC snRNP	Reactome	SNRPD3; SNRPD2; SNRPD1; SNRPB; SNRPF; SNRPG; SNRPE	6628; 6632; 6633; 6634; 6635; 6636; 6637	7	7
0.00400458014002	0.498140869923	FANCA	PINdb	FANCG; BLM; FANCF; FANCE; FANCC; FANCB; FANCA; FANCM; FANCL; TOP3A; RMI1	641; 2175; 2176; 2178; 2187; 2188; 2189; 7156; 55120; 57697; 80010	13	13
0.00400458014002	0.498140869923	BRAFT complex	CORUM	FANCG; RPA3; RPA2; BLM; FANCF; FANCE; FANCC; FANCA; FANCL; TOP3A; RMI1	641; 2175; 2176; 2178; 2188; 2189; 6118; 6119; 7156; 55120; 80010	13	13
