p-value	q-value	complex_name	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.58153629407e-05	0.09972474704	26S Proteasome	BioCarta	RPN1; RPN2; PSMD4; PSMD11; PSMD14; PSMD3; PSMD12; PSMA2; PSMA3; PSMA6; PSMA7; PSMA4; PSMA5; PSMB7; PSMB6; PSMB5; PSMB4; PSMB3; PSMB2	5683; 5684; 5685; 5686; 5687; 5688; 5690; 5691; 5692; 5693; 5694; 5695; 5709; 5710; 5717; 5718; 6184; 6185; 10213	21	21
0.000194750088539	0.376159796014	Unwinding complex at replication fork	Reactome	GINS2; GINS3; GINS1; GINS4; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; CDC45	4171; 4172; 4173; 4174; 4175; 4176; 8318; 9837; 51659; 64785; 84296	11	11
0.000423716142031	0.495791093081	U1 snRNP	Reactome	SNRPA; SNRPD3; SNRPD2; SNRPD1; SNRPB; SNRPC; SNRNP70; SNRPF; SNRPG; SNRPE	6625; 6626; 6628; 6631; 6632; 6633; 6634; 6635; 6636; 6637	10	10
0.000800239638238	0.495791093081	PA700-20S-PA28 complex	CORUM	PSMD8; PSMD4; PSMD7; PSMD3; PSMD2; PSMA2; PSMA3; PSMA6; PSMA7; PSMA4; PSMA5; PSMC1; PSMC2; PSMC4; PSMC6; PSME2; PSME1; PSMD14; PSMD11; PSMD10; PSMD12; PSMB7; PSMB6; PSMB5; PSMB4; PSMB3; PSMB2	5683; 5684; 5685; 5686; 5687; 5688; 5690; 5691; 5692; 5693; 5694; 5695; 5700; 5701; 5704; 5706; 5708; 5709; 5710; 5713; 5714; 5716; 5717; 5718; 5720; 5721; 10213	37	37
0.00142356117087	0.495791093081	PA28gamma-20S proteasome	CORUM	PSME3; PSMA2; PSMA3; PSMA6; PSMA7; PSMA4; PSMA5; PSMB7; PSMB6; PSMB5; PSMB4; PSMB3; PSMB2	5683; 5684; 5685; 5686; 5687; 5688; 5690; 5691; 5692; 5693; 5694; 5695; 10197	15	15
0.00200494871224	0.495791093081	6S methyltransferase and RG-containing Sm proteins complex	CORUM	SNRPD3; SNRPD2; SNRPD1; SNRPB; CLNS1A; SNRPF; SNRPG; SNRPE	1207; 6628; 6632; 6633; 6634; 6635; 6636; 6637	8	8
0.00200494871224	0.495791093081	FA complex (Fanconi anemia complex)	CORUM	FANCG; FANCF; FANCE; FANCC; FANCB; FANCA; FANCM; FANCL	2175; 2176; 2178; 2187; 2188; 2189; 55120; 57697	8	8
0.00241307509888	0.495791093081	PA28-20S proteasome	CORUM	PSME2; PSME1; PSMA2; PSMA3; PSMA6; PSMA7; PSMA4; PSMA5; PSMB7; PSMB6; PSMB5; PSMB4; PSMB3; PSMB2	5683; 5684; 5685; 5686; 5687; 5688; 5690; 5691; 5692; 5693; 5694; 5695; 5720; 5721	17	17
0.00270919493216	0.495791093081	20S Proteasome	BioCarta	PSMA2; PSMA3; PSMA6; PSMA7; PSMA4; PSMA5; PSMB7; PSMB6; PSMB5; PSMB4; PSMB3; PSMB2	5683; 5684; 5685; 5686; 5687; 5688; 5690; 5691; 5692; 5693; 5694; 5695	14	14
0.00271337667695	0.495791093081	FA complex (Fanconi anemia complex)	CORUM	FANCG; BLM; FANCF; FANCE; FANCC; FANCB; FANCA; FANCL; TOP3A; RMI1	641; 2175; 2176; 2178; 2187; 2188; 2189; 7156; 55120; 80010	11	11
0.00271337667695	0.495791093081	BRAFT complex	CORUM	FANCG; RPA3; RPA2; BLM; FANCF; FANCE; FANCC; FANCA; FANCL; TOP3A	641; 2175; 2176; 2178; 2188; 2189; 6118; 6119; 7156; 55120	11	11
0.00286140130421	0.495791093081	26S proteasome	CORUM	PSMD4; PSMC1; PSMC4; PSMA2; PSMA3; PSMA6; PSMA7; PSMA4; PSMA5; PSMB7; PSMB6; PSMB5; PSMB4; PSMB3; PSMB2; PSMC6; PSMC2	5683; 5684; 5685; 5686; 5687; 5688; 5690; 5691; 5692; 5693; 5694; 5695; 5700; 5701; 5704; 5706; 5710	22	22
0.00326010157937	0.495791093081	ECM proteins:Integrin alpha:Integrin beta:Cav-1:Fyn:Shc	INOH	COL10A1; ITGA9; COL11A1; COL11A2; ACAN; ITGA8; HSPG2; VCAN; ITGA5; BGN; ITGA7; AGRN; ITGA10; COL2A1; LUM; CAV1; DCN; NCAN; ITGA2B; SMC3; FYN; ITGA1; ITGB1; COL8A2; ITGB3; ELN; SHC1; SHC2; COL18A1; CD44; COL19A1; COL5A2; COL4A6; COL4A5; COL4A4; COL4A3; TNC; LAMC2; COL16A1; BCAN; COL15A1; TNXB; COL7A1; SDC2; SDC3; ITGA4; ITGAL; ITGAM; COL6A1; GPC4; COL6A2	176; 633; 857; 960; 1280; 1285; 1286; 1287; 1288; 1290; 1291; 1292; 1294; 1296; 1300; 1301; 1302; 1306; 1307; 1310; 1462; 1463; 1634; 2006; 2239; 2534; 3339; 3371; 3672; 3674; 3676; 3678; 3679; 3680; 3683; 3684; 3688; 3690; 3918; 4060; 6383; 6464; 7148; 8515; 8516; 9126; 9672; 25759; 63827; 80781; 375790	83	83
0.00340879435907	0.495791093081	Integrin signaling protein complex	INOH	COL10A1; ITGA9; COL11A1; COL11A2; ACAN; ITGA8; HSPG2; VCAN; ITGA5; BGN; ITGA7; AGRN; ITGA10; TLN2; COL2A1; LUM; DCN; NCAN; ITGA2B; SMC3; TNXB; TLN1; PXN; ITGA1; ITGB1; COL8A2; ITGB3; ELN; COL18A1; CD44; VCL; COL19A1; COL5A2; COL4A6; COL4A5; COL4A4; COL4A3; TNC; LAMC2; COL16A1; BCAN; COL15A1; COL7A1; SDC2; SDC3; ITGA4; ITGAL; ITGAM; COL6A1; GPC4; ACTB; COL6A2	60; 176; 633; 960; 1280; 1285; 1286; 1287; 1288; 1290; 1291; 1292; 1294; 1296; 1300; 1301; 1302; 1306; 1307; 1310; 1462; 1463; 1634; 2006; 2239; 3339; 3371; 3672; 3674; 3676; 3678; 3679; 3680; 3683; 3684; 3688; 3690; 3918; 4060; 5829; 6383; 7094; 7148; 7414; 8515; 8516; 9126; 9672; 63827; 80781; 83660; 375790	85	85
0.0036027485274	0.495791093081	H2AX complex, isolated from cells without IR exposure	CORUM	HIST1H4C; HIST4H4; CALM2; CALM3; HSPA5; CALM1; SSRP1; HIST1H4J; CALR; HIST1H4D; H2AFX; HIST2H4B; HNRNPR; HIST3H2BB; PABPC1; EIF3L; HIST1H4E; HIST2H4A; NPM1; HIST1H4I; SSB	801; 805; 808; 811; 3014; 3309; 4869; 6741; 6749; 8294; 8360; 8363; 8364; 8367; 8370; 10236; 26986; 51386; 121504; 128312; 554313	29	29
0.00377857460157	0.495791093081	Emerin complex 24	CORUM	EMD; LMNB1; RBL2; HIST1H3C; C1QBP; NMI; HIST1H3B; MCM6; MCM4; HIST1H3F; MCM2; HIST1H3D; HIST1H3J; LMNA; HIST1H3I; HIST1H3H; SAP130; HIST1H3G	708; 2010; 4000; 4001; 4171; 4173; 4175; 5934; 8351; 8352; 8354; 8355; 8356; 8357; 8358; 8968; 9111; 79595	24	24
