p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.32077291096e-16	1.57535380334e-12	Metabolism	Reactome	R-HSA-1430728	AGL; PRKAG2; RSC1A1; PCSK9; ASS1; SQLE; CYP3A43; NDUFB9; TAZ; PCTP; SPTLC3; HMGCLL1; LMBRD1; VAC14; ABCD4; PCCA; LHB; NUP93; BCAT2; SLC45A3; SLC45A2; PIK3C2G; SULT1E1; CYP3A7; CYP3A5; OSBPL6; L2HGDH; D2HGDH; CYP26A1; ACLY; TXNRD1; IP6K1; LRP8; STARD5; HSD17B12; HSD17B13; HSD17B10; BBOX1; GSTZ1; ALDH3A1; SHMT2; TPK1; APOA5; TST; APOA1; PANK1; PANK4; TTR; DGAT2; FITM1; LTC4S; LSR; DIO1; DIO2; DIO3; HMMR; GGTLC2; NMRAL1; UCK2; MMACHC; MOGAT2; PPARA; DSE; CHST5; MCCC1; SULT4A1; PISD; GLYATL3; GLYATL1; CBS; FTCD; PRKD2; SLC22A2; SLC22A3; CYP2J2; IDO2; ACP6; NUP133; GNS; GLA; IDO1; NDUFAF2; ADSSL1; HMBS; NDUFV2; ASPG; NCOA6; ASPA; ALAS1; ACAT2; NUP37; IVD; NAT2; NAT1; ENOPH1; SULT1A1; RXRA; SULT1A2; CPOX; LDLR; ALDH9A1; BPHL; SLC27A5; MVK; SLC27A2; CYP2C9; CYP2C8; CMBL; PIPOX; AK2; ALB; AK5; FITM2; AKR7L; ARG1; GUSB; LDLRAP1; GLS2; SPHK2; GCH1; MT2A; B4GALNT1; DHFR; SDC4; BCAT1; FLAD1; CAT; PLCG1; GYG1; CAD; LPIN2; SLC37A4; DPYD; FBP1; IMPDH2; DPYS; ACAA2; ACAA1; ETNK2; HSD17B2; GCHFR; FOLH1; MT3; CD44; CA13; CA12; TPH1; FXN; FPGS; ARSD; PLA2G4C; SMOX; CRAT; ARSF; CA3; CA2; HEXB; BAAT; CYB5A; ARSJ; CA4; ACBD6; ACBD5; ACBD4; CHPF; PCK2; GRHPR; PCK1; GSTA4; GNPAT; MAT1A; GSTA2; NQO1; DHTKD1; GAMT; SLC25A19; OSBPL3; SLC25A17; PYCR2; CYP4F2; SLC25A14; SLC25A12; B3GNT4; B3GNT7; B3GNT2; RAN; EHHADH; GNG10; GNG12; ADRA2C; RARS; EEFSEC; GMPS; PIP4K2B; LIPG; INPP5B; SCD5; IMPA1; LPL; TPR; PHGDH; LPA; PLD1; DBI; DBH; HSD17B3; INPP5F; HS3ST1; PYCRL; SLC2A5; CSAD; PLEKHA4; ECHS1; PLEKHA6; HSD3B1; HSD3B2; MMAA; SMPD1; MMAB; PLEKHA8; DDAH1; ADHFE1; GM2A; VLDLR; CYB5R1; SERINC1; PPOX; HDC; PLA2G1B; AP2B1; MT1X; CYP2D6; CEL; MFSD2A; MT1M; TKT; MT1H; MT1E; MT1F; MT1G; MT1A; COX6C; SLC46A1; NUDT1; VNN1; DLAT; TK1; BLVRA; CYP2R1; LARS; PLA2G16; MTHFD1; GLYCTK; MAOB; MAOA; SARDH; DTYMK; HS6ST2; CH25H; EEF1E1; CREBBP; MUT; EPHX2; APIP; PI4KB; INMT; AMPD3; UGT2A3; UGT2A1; FABP4; PRKAR2B; PGAM2; HAAO; PPA1; FABP1; LUM; AKR1C2; AKR1C3; HAO1; VKORC1; AMDHD1; LRAT; PRELP; RAB14; ASL; ETFA; CA5B; PLA2R1; NAGLU; TPMT; NUDT10; ENO3; ACADSB; BTD; DUT; NDOR1; OMD; PIP5K1C; PIP5K1A; ACOX1; ALDH2; HEXA; PPAT; PNP; NEU1; NEU3; PON1; PCBD1; LCAT; PRKAA2; CYP17A1; SLC5A3; SLC5A5; SLC5A6; HMGCL; PDK1; PYCR1; OLAH; FYN; PFKP; PFKM; PFKL; ABCC8; EPRS; SULT2A1; APOF; ST3GAL6; PRKCA; AP2A2; HBA1; GCGR; HBA2; BDH2; ALPI; BDH1; CHST14; PFKFB1; GPIHBP1; PFKFB2; AZIN1; PFKFB4; TYMS; GSTP1; CYP2C19; CYP2C18; ADH1A; BCKDHA; CHKA; SLC6A7; LYVE1; CKB; SLC6A8; AOC3; BGN; RAPGEF4; CYP2W1; APOC3; GGPS1; B3GAT3; UQCRB; FURIN; DCN; DCK; CALM1; CYP4F12; ACSM3; ACSM5; CACNA1E; ADK; PLA2G6; ATP5J2; PLA2G5; GUCA2B; RRM2B; CYP27B1; FMO2; UGT2B7; IARS; CETP; AQP1; CRYL1; CTSA; ETFDH; SLC25A20; RPL11; NUPL2; ACOT9; GPT; ACOT7; AGXT2; ACOT2; SETD4; SHMT1; ACOT1; ADCY5; ADCY6; ATIC; ORMDL2; NME1; NME2; ORMDL1; PTPN13; DHODH; ADH4; ADCY8; ACOX2; ADCY1; DSEL; ACADS; GBA; GAPDH; ACADL; ACADM; THEM5; THEM4; NT5M; GLDC; DCTD; NT5E; XDH; PNPLA3; PC; GDPD1; PNPLA7; PNPLA4; B4GALT1; B4GALT3; THRSP; SULT1C2; PRKAB2; SULT1C4; ACSF2; GCKR; PHKA2; DDO; ARV1; GPHN; ALDH4A1; GSTT2; CYP19A1; SMPD3; NNMT; SULT2B1; NDST3; LIPT1; KMO; CIAPIN1; MOGAT1; NAMPT; MTHFD1L; ADI1; SLC10A1; BHMT; ADIPOR1; CHST7; DCXR; SLC6A11; RPL36A; PPCDC; HMGCS2; ACACA; ACACB; MGLL; COMT; NDUFA8; SORD; ALDH7A1; CS; QARS; LRP1; CDA; SLC5A1; CKMT2; GSTM1; GSTM2; AGXT; GSTM5; GLYATL2; AGPAT2; AGPAT1; SLC35D1; HIBCH; OCRL; IYD; HS3ST4; BPGM; AIMP1; GPD1; GPD2; AACS; LPGAT1; GCDH; PLBD1; CBR4; CBR3; FAH; LPCAT2; LPCAT3; PHOSPHO1; LPCAT1; CYP4A22; SUOX; ACY1; SLC22A1; SLC44A1; AADAT; MTR; CYP4V2; SUCLG2; SUCLG1; ALDOA; ALDOC; ALDOB; OAZ2; OAZ3; PON3; PSAT1; HADHB; PDK3; PDK2; EBP; PDK4; ABCC5; HAO2; COQ3; ABCC3; PTGS2; PECR; MAN2B2; HBB; AKT1; DMGDH; LYRM4; UGP2; RPL22L1; NDST1; CPT2; MMADHC; INPP4A; HSP90AB1; PYGB; KHK; CYP39A1; GOT2; GOT1; PYGL; PFAS; ADH1C; ENTPD5; ENTPD1; HK2; ENPP1; RAE1; ACOT11; CSNK2A2; ABHD4; MLYCD; BMP1; CSPG5; HYAL1; ACSL1; ACSL6; ACSL4; PPIP5K1; SLC19A3; NUP205; RPL8; RPL7; LRP12; SLC25A37; AKR1A1; BCHE; CLTC; PGS1; MAPKAPK2; DPEP2; CYGB; UROC1; AMN; GNG4; NPC1; PIK3R4; PIK3R3; PDHB; GBA3; EPM2A; PLEKHA2; PGM1; PLA1A; SLC26A2; GYS2; PTGES; AKR7A3; ETHE1; BCAN; HADH; ABCG5; ABCG8; SDC1; GGT3P; G6PD; G6PC; TAF9; DBT; ELOVL6; GPC3; NUP155; ELOVL1; HAGH; SDC3; ACAN; ATP5J; PDXK; NCOR1; GNAI1; MTHFD2L; AKR1B10; TNFAIP8L1; AKR1B15; ACAT1; CYP2B6; ACMSD; UGT2B15; UGT2B10; UGT2B11; BCO2; SRD5A2; SRD5A1; PHYH; MTHFS; PDSS2; PDSS1; TGS1; ADA; IDUA; DEGS1; FAAH; ADH6; PSPH; GLUL; GLUD1; SREBF1; OXCT1; PITPNM3; HSP90AA1; XYLB; TMLHE; GALT; GNMT; BCKDK; AKR1D1; SCP2; CKMT1A; RRM2; ACAD10; ACAD11; DERA; PAPSS2; CPNE3; CMPK1; DAO; CPNE7; CPNE6; RPIA; TH; BCKDHB; ACOT12; LDHA; KCNJ11; TDO2; PTGIS; ALDH6A1; GGT1; GGT7; GPC6; GGT5; ALDH1B1; COX7A2L; CYP4A11; PEMT; FOLH1B; PMVK; GNA14; GLYAT; SDHB; SDHD	207; 4018; 10998; 11069; 5743; 34; 26275; 10478; 29958; 4598; 4669; 5783; 64801; 443; 55697; 1577; 51422; 35; 622; 1728; 1807; 1384; 23165; 6535; 4831; 79966; 8424; 8503; 6342; 644; 60490; 6581; 56922; 4499; 10400; 284161; 51582; 84869; 3615; 26229; 7172; 9663; 111; 51686; 137872; 2946; 9255; 81693; 100; 501; 2642; 10057; 2992; 4907; 55229; 92126; 56898; 54363; 2108; 10588; 3032; 4947; 6256; 22977; 7069; 130; 788; 6296; 51071; 5337; 5476; 1558; 3795; 389434; 144193; 2542; 3067; 1551; 176; 2678; 1719; 79777; 55788; 6715; 771; 5165; 9951; 6819; 1565; 9016; 5162; 5563; 4060; 8398; 1594; 326625; 56848; 95; 27165; 441024; 635; 4830; 445; 2356; 57016; 6132; 375775; 2167; 50484; 1806; 3040; 435; 2346; 847; 1387; 55304; 5471; 6534; 23576; 51166; 1376; 51706; 57107; 55746; 7296; 1459; 23498; 4501; 51520; 84879; 23563; 63827; 200916; 2027; 7175; 8703; 8714; 10249; 2644; 204; 10654; 2597; 219595; 1635; 2805; 4129; 5901; 56953; 132; 7365; 91452; 189; 6248; 8560; 1371; 27010; 6241; 27249; 219; 358; 1528; 5164; 5565; 162466; 5319; 2395; 3293; 4023; 5859; 8604; 522; 161; 1160; 134147; 728294; 978; 53354; 1723; 3425; 1622; 47; 55301; 1629; 7276; 57019; 1586; 3283; 36; 1733; 6135; 960; 2939; 1579; 2166; 10941; 3161; 64241; 3043; 284541; 2746; 3340; 3931; 114757; 27132; 3158; 5577; 8801; 9388; 6783; 4035; 29920; 3326; 649; 26119; 7957; 416; 79001; 9611; 11332; 345; 441282; 51151; 4493; 112; 8895; 9489; 2539; 65985; 91227; 152; 3376; 6390; 8884; 10720; 335; 4729; 875; 117145; 2949; 26031; 3949; 31; 3767; 55825; 1634; 2819; 94101; 4128; 23597; 2110; 2629; 80168; 51599; 54093; 7364; 10449; 23054; 23169; 790; 10295; 3939; 5288; 2683; 5106; 29095; 10; 593; 27158; 4329; 11097; 6716; 2534; 83394; 6470; 178; 761; 84725; 590; 1312; 10682; 6820; 1734; 218; 4548; 5214; 57515; 10135; 5167; 30849; 9362; 1892; 10675; 211; 5207; 79586; 374569; 1345; 51084; 90161; 9942; 3074; 79887; 1588; 10894; 23305; 1152; 113235; 8639; 2941; 29940; 2168; 669; 51074; 10965; 39; 1621; 9631; 7086; 801; 64240; 7498; 60386; 9677; 255738; 5465; 6528; 66002; 9380; 1854; 7298; 26289; 229; 2731; 80339; 11145; 4864; 2180; 6582; 226; 6392; 2538; 1836; 2950; 5444; 8529; 2760; 10841; 6385; 25865; 3712; 548596; 1056; 874; 2646; 54947; 6382; 80704; 8876; 338328; 4958; 23761; 51805; 5498; 80221; 2639; 23417; 30; 51601; 570; 7263; 22874; 3029; 4758; 79799; 1562; 84129; 2875; 5298; 51179; 4521; 25830; 6833; 8605; 953; 1555; 23396; 63874; 64174; 5831; 10327; 2786; 760; 213; 6526; 51094; 5091; 5166; 163; 9536; 27233; 3284; 5549; 114880; 4594; 25974; 2583; 38; 1735; 6129; 284486; 22925; 9630; 1573; 51312; 120227; 6720; 4702; 6538; 6821; 64834; 5464; 246181; 1610; 54498; 51302; 3320; 124; 3145; 5045; 5224; 80724; 8309; 79642; 9261; 2770; 1431; 5264; 4495; 114; 79944; 166785; 122622; 107; 1646; 2752; 2058; 9688; 11001; 2820; 5834; 22876; 10243; 5723; 55526; 55970; 383; 2806; 51181; 3028; 7366; 2981; 8564; 1557; 2799; 2327; 134526; 23446; 777; 6718; 223; 2717; 3633; 23324; 6822; 5208; 9023; 79888; 10082; 29967; 51268; 3294; 6518; 27232; 5019; 51; 9167; 10555; 4056; 113189; 5198; 161247; 1737; 6901; 285440; 33; 345275; 9926; 54511; 248; 51727; 4502; 2203; 10162; 3155; 5578; 471; 8802; 132158; 60678; 4504; 127; 6880; 5836; 6999; 2053; 1119; 1841; 2182; 51144; 4494; 2944; 5446; 5256; 8480; 6554; 84649; 3373; 1559; 389396; 6799; 116519; 4837; 6609; 79023; 51380; 4143; 54988; 9060; 51205; 219970; 686; 2593; 4952; 2998; 65263; 7804; 10825; 64902; 170685; 51552; 55224; 116255; 5826; 8228; 7436; 58488; 79071; 55217; 6652; 57128; 8528; 2687; 6472; 131669; 3099; 6580; 3972; 594; 169355; 6173; 58478; 6713; 7054; 762; 5092; 587; 1757; 6817; 5322; 5211; 4860; 64816; 84320; 8396; 1592; 5740; 633; 9348; 10554; 272; 1213; 22934; 130013; 55512; 23474; 670; 32; 641371; 11238; 9227; 8443; 377677; 7083; 8833; 9807; 319; 5236; 8394; 126; 1962; 2953; 79369; 2184; 230; 4496; 83875; 8644; 96764; 9957; 2954; 3612; 92292; 1071; 85414; 7166; 59339; 4489; 26227; 5917; 7381; 91942; 2643; 80765; 2592; 128486; 11185; 57664; 1633; 26027; 9453; 3033; 7371; 2990; 51365; 126282; 4715; 9521; 7360; 8566; 957; 9672; 10402; 23590; 2686; 4522; 5105; 9; 25902; 55256; 414; 5335; 11343; 2790; 2679; 3039; 3631; 8659; 217; 2719; 80308; 5213; 9551; 5095; 54905; 57407; 586; 10678; 93010; 3620; 29968; 5210; 6523; 5163; 3073; 56548; 57733	2035	2021
1.74665302051e-10	3.18414845639e-07	Valine, leucine and isoleucine degradation - Homo sapiens (human)	KEGG	path:hsa00280	MUT; HSD17B10; ACADS; PCCA; AGXT2; ABAT; AACS; ACADM; ACAT1; HADHB; ACAA1; ACAA2; ACAT2; HMGCLL1; BCKDHB; HMGCS2; HMGCL; BCAT2; BCAT1; ALDH6A1; ALDH9A1; ACADSB; ALDH7A1; ALDH1B1; EHHADH; MCCC1; IVD; HADH; ALDH2; DBT; ECHS1; OXCT1; BCKDHA; HIBCH	3712; 3158; 64902; 18; 593; 217; 5019; 30; 34; 35; 36; 38; 39; 1962; 586; 65985; 587; 10449; 594; 26275; 3028; 3032; 3033; 56922; 219; 1629; 223; 1892; 5095; 4329; 54511; 4594; 3155; 501	48	48
5.23860256095e-09	6.3666483124e-06	Cell Cycle	Reactome	R-HSA-1640170	EXO1; RAD17; BUB1B; PLK1; RAD9B; HIST1H4H; PKMYT1; AKT1; AKT2; DYNLL1; KIF2A; LEMD2; KIF2C; CDC45; TPX2; UIMC1; ANAPC16; ALMS1; HSP90AB1; CSNK1D; RFC4; PRIM2; WEE1; CDKN2B; CDKN2C; CENPM; CENPL; CENPK; CENPJ; RFC1; NUF2; CENPF; CENPE; CDCA5; PPP2R2A; CENPA; RAE1; NUPL2; PMF1; MDM4; CSNK2A2; CENPP; LIN9; FKBPL; GTSE1; H2AFX; AKAP9; KIF23; SFN; TERF1; DBF4; UBB; NCAPH; NCAPG; ATR; NUP205; CCND2; CLSPN; GORASP2; UBE2D1; GMNN; FEN1; NHP2; RAD1; PHLDA1; POLE2; CDC16; RUVBL2; CCNE2; FAM175A; CCNE1; HAUS3; ATRIP; PCBP4; FBXL18; NINL; CHEK1; HMMR; BUB1; RNF8; BUB3; CDC25C; CDC25A; CDK7; CDK11A; NCAPD2; HIST1H2BD; HIST1H2BE; HIST1H2BF; HIST1H2BG; HIST2H3C; HIST1H2BC; ZWILCH; HIST1H2BN; ANAPC4; ANAPC7; HIST1H2BK; BLM; GINS1; GINS4; UBE2C; CDC20; MCM4; SPC25; NUP155; MCM3; PPP2R5B; ERCC6L; RFWD2; NUP133; CDT1; MASTL; LIN37; DYNC1H1; DSN1; RFC3; SMC4; PRKAR2B; FOXM1; DCTN2; NDC80; HIST1H3H; CDC6; CDC7; CEP164; SKP1; SMC2; KNTC1; CKS1B; NBN; ZWINT; PTTG1; HIST2H2AA3; CEP250; E2F5; TPR; UBE2V2; CEP72; TOPBP1; CDK1; CDK6; RAD50; CDK5RAP2; HSP90AA1; BRE; TUBGCP5; KIF20A; HIST1H2BJ; POLA2; POLA1; MAD2L1; HIST1H2AK; BIRC5; RAB2A; ITGB3BP; CDKN2A; HIST2H2BE; HIST1H2AE; MYBL2; RMI1; HIST1H2AC; HIST2H4A; YWHAZ; DNA2; LPIN2; ESCO2; BLZF1; CENPH; NUDC; SKA1; YWHAH; AURKA; AURKB; PPP2R2D; CDCA8; YWHAG; YWHAE; NEK2; RAD21; PRKCA; NUP93; CCNA2; KIF18A; MCM6; RUVBL1; TP53BP1; MCM2; HIST1H3D; HIST1H3E; HJURP; LMNA; NPM1; CCNB2; CCNB1; E2F4; E2F3; E2F2; E2F1; AHCTF1; BTRC; FGFR1OP; NUP37; TUBG1; REC8; DKC1; CKAP5	5578; 207; 3017; 1869; 55835; 4869; 728642; 4085; 3014; 9493; 4000; 9133; 9735; 22981; 993; 79441; 80028; 2305; 208; 4171; 55746; 1763; 8353; 23165; 8341; 8480; 79980; 5520; 286826; 8881; 4751; 9212; 79019; 84296; 1058; 1459; 84142; 10926; 1871; 545; 11190; 8365; 10540; 891; 126961; 990; 701; 10592; 4172; 7533; 63943; 3161; 57060; 8945; 144715; 10856; 995; 55355; 55143; 84126; 9663; 10726; 898; 5577; 1063; 1163; 7158; 8343; 51512; 3326; 8607; 9793; 1453; 7321; 22974; 9232; 51434; 6790; 2810; 401541; 119504; 4683; 84930; 83540; 3796; 5810; 54821; 55957; 5862; 63967; 5884; 1030; 8344; 10111; 22897; 8337; 5558; 7840; 11073; 3320; 1874; 55844; 7283; 9918; 1778; 8970; 1736; 8334; 51053; 894; 220134; 8349; 25909; 23649; 91687; 64946; 64151; 81620; 11116; 55055; 8548; 983; 4194; 7336; 8339; 23397; 81930; 55755; 11097; 8318; 7013; 10112; 8655; 9577; 9688; 8370; 10142; 11243; 10051; 4173; 64105; 9184; 7314; 1022; 1029; 8351; 10403; 699; 9156; 7531; 4605; 51720; 1111; 7465; 26003; 9025; 80010; 9088; 23421; 85236; 1870; 157570; 8330; 57405; 11130; 890; 9631; 5981; 7175; 9134; 4175; 7532; 221496; 8357; 5885; 1031; 79023; 9985; 332; 1062; 9837; 55722; 5347; 5422; 55651; 64326; 114791; 29945; 1875; 8317; 11004; 991; 3012; 641; 6500; 1021; 5983; 113130; 7534; 11065; 2237; 5984; 8347; 22822; 5427; 5526	551	549
1.41676479052e-08	9.80545989574e-06	Valine Leucine Isoleucine degradation	INOH	None	HSD17B10; ACADS; PCCA; ACAD11; ACADM; ALDH1A2; HADHB; ACAA2; ACAA1; HMGCS2; HMGCL; BCAT2; BCAT1; ALDH6A1; ALDH9A1; ALDH7A1; ALDH1B1; EHHADH; MCCC1; IVD; HADH; ALDH2; ECHS1; OXCT1	3028; 501; 3712; 84129; 5095; 3155; 30; 586; 3033; 219; 223; 3158; 35; 56922; 3032; 10449; 34; 4329; 5019; 217; 1892; 1962; 587; 8854	32	32
1.41756090566e-08	9.80545989574e-06	Valine, leucine and isoleucine degradation	EHMN	Valine, leucine and isoleucine degradation	HSD17B10; ACADS; VARS; PCCA; SLC7A1; ABAT; ACADL; ACADM; ACAA2; HADHB; VARS2; SLC38A4; ALDH3A1; SLC38A1; HMGCL; BCAT2; BCAT1; ALDH6A1; ALDH9A1; ACADSB; ALDH7A1; ALDH1B1; DBI; EHHADH; MCCC1; IVD; HADH; ALDH2; ECHS1; BCKDHB; BCKDHA; HIBCH	3028; 501; 3712; 586; 33; 6541; 57176; 5095; 3155; 3033; 593; 81539; 56922; 219; 35; 594; 36; 223; 55089; 1622; 26275; 218; 3032; 10449; 7407; 34; 4329; 18; 217; 1892; 1962; 587	49	49
1.61362477714e-08	9.80545989574e-06	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	PTGS2; PCK1; SLC6A7; SLC6A2; GSTA4; SLC6A9; SLC6A8; EPB41L4B; GSTA2; NQO1; ABHD2; APOC3; MAFF; MAFG; SLC39A10; CYP3A5; SLC39A14; BHLHE40; NR0B2; GADD45B; CPT2; HSP90AB1; UGT2B7; EPHA3; SNAI2; CYP3A7; SERPINB2; EHHADH; PRRG4; SLC2A9; SLC2A5; NR1I2; CCL2; ALDH3A1; APOA5; ACADM; TGFA; EGR1; JUN; CAP2; SLC5A12; SLC5A11; SCNN1A; CCL20; TXNRD1; SLC26A2; IGFBP1; PPARA; SLC39A1; SLC39A2; SLC39A5; SLC39A6; DNER; GSTT2; ESR1; ABCG8; G6PD; ARL5B; CYP4F12; DBI; SLCO2B1; HES1; PMP2; SLC2A13; EPHA2; SLC2A11; SLC2A10; STOM; ME1; FABP1; IL1B; THBD; NCOA3; SLC10A1; NCOA6; HBEGF; CYP2B6; CDC37; ALAS1; FGF13; SLC6A11; FTH1; SLC6A17; SLC6A16; FGD4; SCP2; SULT1A1; RXRA; SLC27A5; NFKB2; ABCG5; CYP2C9; GSTM1; GSTM2; ACOX1; GSTM5; CDK1; SREBF1; HSP90AA1; DNAJC7; SRC; JUNB; BIRC3; S100P; BAX; SLC5A1; FOXO1; SLC5A3; SLC5A5; SLC5A6; SLC39A7; APOA1; ACAA1; ETNK2; RGS2; SULT2A1; CES3; GGT1; HGF; SQSTM1; CYP4A11; CBR3; BAAT; SLC7A11; GSTP1; CYP2C19; PDK4; ABCC5; ABCC3	114134; 211; 983; 218; 3320; 11309; 6720; 3326; 11057; 2099; 3553; 5375; 1839; 7056; 4199; 28968; 23657; 8714; 1376; 2953; 388662; 8431; 2168; 10057; 23764; 5997; 5465; 6714; 159963; 1958; 56606; 1551; 1555; 1557; 1559; 8878; 51; 81031; 5743; 27173; 2258; 4097; 6256; 6591; 2495; 6822; 6518; 2308; 115584; 92737; 8884; 121512; 7364; 55224; 3280; 283375; 29986; 25800; 581; 2939; 23491; 2539; 1836; 57181; 6538; 2042; 2040; 8553; 30; 34; 79056; 2678; 7266; 570; 330; 6536; 6535; 6530; 10998; 345; 66035; 3082; 7296; 7039; 54566; 8202; 6523; 3725; 3726; 2950; 335; 5105; 1622; 1728; 11140; 7922; 6534; 6364; 2946; 6286; 6817; 2949; 5055; 64241; 64240; 2944; 4616; 6554; 6526; 1969; 6347; 874; 1962; 6337; 2941; 10486; 5166; 23054; 23516; 3484; 6342; 221079; 4791; 6528; 66002; 116519; 1577; 8856; 1579	316	316
2.21385164617e-08	1.15310044314e-05	Peroxisome - Homo sapiens (human)	KEGG	path:hsa04146	EPHX2; ACSL1; PEX11G; ACSL6; SCP2; PECR; CAT; PEX10; SLC25A17; AGXT; PEX13; PEX14; DHRS4; DAO; XDH; ECH1; ACAA1; HMGCLL1; ABCD3; SLC27A2; ABCD4; CRAT; SOD1; HMGCL; MPV17; PEX11B; DDO; MPV17L2; GNPAT; PXMP2; MVK; EHHADH; PHYH; MLYCD; PEX3; PEX2; PEX7; PIPOX; ACOX2; ACOX1; PMVK; ACSL4; DHRS4L1; HAO1; HAO2; BAAT	51; 2180; 4358; 5825; 23305; 2053; 23417; 5264; 55825; 7498; 10901; 30; 92960; 84769; 3155; 6342; 1962; 728635; 10654; 8504; 570; 189; 5826; 5827; 5828; 5191; 5192; 5194; 5195; 8528; 1891; 54363; 8799; 847; 1610; 1384; 4598; 6647; 51179; 10478; 54511; 51268; 8309; 11001; 8443; 2182	83	83
5.00343926641e-08	1.54262973692e-05	Fatty acid degradation - Homo sapiens (human)	KEGG	path:hsa00071	ACADS; ACSL4; ACADL; ACADM; GCDH; ACAT1; HADHB; CPT2; ACAA1; ACAA2; ACAT2; ACOX1; CPT1C; ALDH9A1; ACADSB; ALDH7A1; ALDH1B1; EHHADH; CYP4A22; HADH; CYP4A11; ADH6; ADH4; ACSL1; ACSL6; ALDH2; ECHS1; ADH1C; ADH1A	130; 2180; 2182; 23305; 217; 30; 33; 34; 35; 36; 38; 39; 1962; 1579; 223; 126129; 51; 2639; 10449; 3032; 3033; 219; 1376; 1892; 501; 124; 284541; 126; 127	44	44
6.83254353228e-08	1.54262973692e-05	Glycine, serine and threonine metabolism - Homo sapiens (human)	KEGG	path:hsa00260	GRHPR; GAMT; GNMT; BPGM; SDS; AGXT; AOC3; AGXT2; PGAM2; DMGDH; BHMT; CBS; GLDC; DAO; ALAS1; PHGDH; ALDH7A1; SHMT2; SHMT1; SDSL; PIPOX; PSPH; GLYCTK; PSAT1; MAOB; MAOA; SARDH	64902; 113675; 29968; 51268; 669; 4128; 4129; 9380; 29958; 2731; 1757; 189; 132158; 8639; 6470; 2593; 6472; 211; 5723; 27232; 1610; 5224; 875; 10993; 26227; 501; 635	40	40
8.87850305796e-08	1.54262973692e-05	Amino Acid metabolism	Wikipathways	WP3925	MUT; AOC3; PCK1; VARS; FAH; P4HA2; GLUL; IARS; HDC; PYCR1; ASS1; ACADM; CAD; BHMT; CBS; MPST; ACAA1; PC; RARS; TH; GOT2; EPRS; GOT1; LDHA; HMGCS2; TDO2; DBH; HMGCL; WARS; BCAT1; TPH1; SUCLG1; ALDH7A1; CS; EHHADH; MCCC1; HADH; ADH4; ARG1; SDS; GLUD1; FARSB; MAOA; FTCD; ADH1C; PDK4; ACLY; HIBCH	7453; 7054; 26275; 3939; 6999; 8639; 10056; 126; 127; 56922; 3033; 5917; 8974; 4128; 790; 5091; 8802; 586; 5105; 445; 383; 3155; 4357; 1431; 30; 34; 2806; 2805; 3158; 2058; 10993; 501; 635; 2184; 10841; 1621; 3376; 7166; 2752; 7407; 3067; 47; 875; 1962; 4594; 2746; 5166; 5831	91	91
