p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.73441011636e-07	0.000956499607409	Protein processing in endoplasmic reticulum - Homo sapiens (human)	KEGG	path:hsa04141	BCAP31; RPN2; NGLY1; MBTPS2; HSPA5; NFE2L2; EIF2AK3; PDIA4; PDIA3; HSP90B1; HSP90AB1; DNAJB11; SSR3; CANX; ERP29; RRBP1; DNAJC5; DDOST; ERN1; UGGT1	51726; 7184; 2081; 6185; 56886; 6747; 6238; 1650; 4780; 10961; 9451; 3309; 3326; 9601; 821; 2923; 10134; 51360; 80331; 55768	166	165
4.10065955023e-06	0.00341995006489	Alzheimer,s disease - Homo sapiens (human)	KEGG	path:hsa05010	PLCB2; IDE; CALM2; COX5A; NDUFB8; EIF2AK3; NDUFA13; BACE2; NDUFB11; ATP5J; APH1A; MAPK1; CASP8; ADAM17; COX6B1; SDHB; ATP5A1; ERN1; GNAQ	522; 2081; 4714; 9377; 5330; 6868; 25825; 9451; 6390; 54539; 805; 1340; 841; 3416; 51079; 51107; 2776; 5594; 498	171	171
1.22631618241e-05	0.00681831797421	Saturated fatty acids beta-oxidation	EHMN	Saturated fatty acids beta-oxidation	HADH; PECR; ACADS; ACOX1; ECHS1; ACOT8; HSD17B4	55825; 10005; 3295; 35; 3033; 1892; 51	25	25
2.13852814939e-05	0.00891766238295	Photodynamic therapy-induced unfolded protein response	Wikipathways	WP3613	BCL2L11; HSPA5; NFE2L2; EIF2AK3; HSP90B1; DNAJB11; ERN1	9451; 3309; 4780; 10018; 7184; 2081; 51726	27	27
6.93160103227e-05	0.0231238210436	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	Reactome	R-HSA-163200	ETFA; ETFB; COX5A; NDUFB8; ATP5A1; TACO1; NDUFB11; ATP5J; ATP5I; NDUFAF1; SCO1; NDUFA13; COX6B1; SDHB	2109; 51204; 51103; 498; 522; 2108; 521; 9377; 51079; 4714; 54539; 6390; 6341; 1340	126	125
9.05554443985e-05	0.0251744135428	Peroxisome - Homo sapiens (human)	KEGG	path:hsa04146	PECR; PIPOX; SOD2; SOD1; ACSL3; ACOX1; PEX11A; ACOT8; PHYH; HSD17B4; GSTK1	51; 2181; 5264; 55825; 10005; 373156; 3295; 8800; 6647; 51268; 6648	83	83
0.000135246312593	0.0300549618958	TRAIL signaling pathway	PID	trail_pathway	PIK3CA; CHUK; CASP8; RIPK1; TNFRSF10B; MAPK1	8737; 5594; 1147; 841; 5290; 8795	25	25
0.000174613306971	0.0300549618958	The citric acid (TCA) cycle and respiratory electron transport	Reactome	R-HSA-1428517	ETFA; ETFB; COX5A; ATP5J; ATP5A1; NDUFB8; TACO1; NDUFB11; PDP1; ATP5I; NDUFAF1; MDH2; SCO1; NDUFA13; COX6B1; SDHB	2109; 51204; 51103; 4191; 498; 54704; 522; 2108; 521; 9377; 51079; 4714; 54539; 6390; 6341; 1340	171	170
0.000176781347033	0.0300549618958	Mitochondrial LC-Fatty Acid Beta-Oxidation	Wikipathways	WP368	CPT1A; ACSL3; PECR; ACADS; HADH	55825; 2181; 35; 3033; 1374	17	17
0.000275800293868	0.0300549618958	Cellular responses to stress	Reactome	R-HSA-2262752	HSPA5; HSPA9; TNIK; MAPK11; HIST1H2AE; HIST1H3H; TSC1; BAG4; HSP90AB1; ATG3; MAPK1; H3F3B; PHC3; TXNRD1; CDKN2C; H1F0; SOD2; SOD1; TXN2; ATG4B; HIST1H3A; ATG14; MDM2; EGLN1; RPA3; RAD50; TFDP2	4193; 8350; 3326; 80012; 7029; 10111; 64422; 7248; 22863; 6119; 6647; 3005; 3313; 5600; 6648; 23192; 54583; 1031; 3021; 7296; 5594; 3309; 8357; 23043; 3012; 9530; 25828	393	391
0.000314405328434	0.0300549618958	fatty acid &beta;-oxidation (peroxisome)	HumanCyc	PWY66-391	ACSL3; ACOX1; HSD17B4; ECHS1; HADH	2181; 3033; 1892; 51; 3295	19	19
0.000321224756242	0.0300549618958	Metabolism	Reactome	R-HSA-1430728	PECR; NDUFB8; TACO1; RAPGEF4; SCO1; FDXR; B3GAT2; CALM2; SQRDL; PIK3CA; NDUFB11; HSP90AB1; NDUFA13; RAB5A; ALOX5; PIK3C2A; RPL10; ACOT8; INPP5A; MBTPS2; CSPG4; NME2; MBOAT2; ACSL3; PPP2CB; RPL39L; AMT; GNG7; GNG5; PSTK; ACADS; GGCT; HIBADH; COX6B1; TST; ECHS1; PAICS; FIG4; MT1H; PRKG2; HNMT; TXNRD1; PLCB2; NUDT1; GCK; PDP1; GPHN; HADH; GNAQ; MTHFD1; PISD; GLYCTK; SULT2B1; PPT1; ATP5J; ATP5I; NDUFAF1; PPA2; ADSL; ATP5A1; ETFA; RPS25; ACACA; MTHFS; GALE; PIPOX; ACOX1; GSTZ1; SREBF1; NPC1L1; NEU2; GNMT; COX5A; TALDO1; SDC4; FLAD1; PLCG1; ETFB; MDH2; PDZD11; HSD17B4; CPT1A; ST3GAL1; ALDH1B1; PHYH; ARSD; CYP7B1; CYB5B; PON2; PNMT; ACBD5; BCKDHA; SDHB; GSTK1	11069; 275; 5593; 35; 4831; 2181; 158; 498; 2108; 10588; 118672; 4714; 5516; 4191; 58472; 54704; 7296; 2776; 6230; 2232; 91452; 79017; 373156; 3632; 5286; 51103; 219; 522; 54539; 3326; 5445; 129642; 6390; 10606; 31; 1340; 3176; 55825; 4759; 593; 2787; 5868; 6820; 1892; 2645; 6134; 11112; 9420; 135152; 1464; 6385; 23761; 7263; 4521; 27068; 3295; 10005; 6720; 6888; 6341; 5264; 10243; 51360; 6482; 2788; 5290; 5330; 9896; 51268; 27232; 51; 51079; 2582; 5538; 132158; 5409; 521; 1374; 51248; 805; 240; 116832; 9377; 4496; 2954; 51204; 29881; 2109; 3033; 4522; 414; 5335; 80308; 80777	2035	2021
0.000324079641441	0.0300549618958	Peroxisomal lipid metabolism	Reactome	R-HSA-390918	PECR; ACOT8; ACOX1; ACBD5; HSD17B4; PHYH	55825; 10005; 5264; 3295; 51; 91452	29	29
0.000330839751457	0.0300549618958	Signaling by FGFR4 in disease	Reactome	R-HSA-5655291	PIK3CA; FGFR4; NRAS; PLCG1	2264; 5290; 4893; 5335	11	11
0.000330839751457	0.0300549618958	3-oxo-10R-octadecatrienoate beta-oxidation	EHMN	3-oxo-10R-octadecatrienoate beta-oxidation	HADH; ACOX1; HSD17B4; ECHS1	3033; 1892; 51; 3295	11	11
0.000334372477255	0.0300549618958	Apoptosis-related network due to altered Notch3 in ovarian cancer	Wikipathways	WP2864	HSPA5; AXIN1; TNFRSF10B; PKN1; RPS6KB1; HSPD1; MAPK1; ERN1	3309; 3329; 5585; 8312; 8795; 5594; 2081; 6198	53	53
0.000347765331364	0.0300549618958	Beta oxidation of hexanoyl-CoA to butanoyl-CoA	Reactome	R-HSA-77350	ECHS1; ACADS; HADH	1892; 35; 3033	5	5
0.000347765331364	0.0300549618958	Beta oxidation of butanoyl-CoA to acetyl-CoA	Reactome	R-HSA-77352	ECHS1; ACADS; HADH	1892; 35; 3033	5	5
0.000354094354648	0.0300549618958	TNF	INOH	None	PSMD1; CHUK; CASP8; NFKBIE; RIPK1; PSMA1; PSMA5; PSMC2; PSMB1	8737; 5682; 5701; 1147; 5686; 5689; 4794; 5707; 841	67	67
0.000362154094914	0.0300549618958	Signaling by FGFR4	Reactome	R-HSA-5654743	PIK3CA; PPP2CB; NRAS; SPRY2; PLCG1; MAPK1; FGFR4	10253; 2264; 5335; 5516; 4893; 5594; 5290	41	41
0.000407842691899	0.0300549618958	Serotonin Receptor 2 and ELK-SRF-GATA4 signaling	Wikipathways	WP732	GATA4; MAPK1; NRAS; GNAQ; HTR2B	5594; 4893; 3357; 2776; 2626	20	20
0.000407842691899	0.0300549618958	HH-Ncore	Signalink	None	BOC; EXTL1; RAB23; STK36; SAP18	51715; 91653; 10284; 2134; 27148	20	20
0.000414426932616	0.0300549618958	Signaling Pathways in Glioblastoma	Wikipathways	WP2261	CDKN2C; MET; PIK3CA; NRAS; PIK3C2A; SPRY2; PLCG1; MAPK1; MDM2; TSC1	5290; 5335; 10253; 7248; 5286; 4193; 1031; 4233; 5594; 4893	83	83
