p-value	q-value	complex_name	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000195102381957	0.291536713333	ECM proteins:Integrin alpha:Integrin beta:Cav-1:Fyn:Shc	INOH	ITGA9; ACAN; ITGA2; BGN; ITGA7; COL3A1; COL2A1; LUM; DCN; SHC3; FYN; ITGA1; BCAN; ITGB1; COL8A2; SHC1; ITGB6; COL18A1; CD44; COL4A4; COL4A3; ITGA6; COL4A1; LAMC2; COL16A1; ITGAX; COL15A1; ITGB8; TNXB; COL7A1; SDC1; SDC3; SDC4; ITGAV; COL5A1; COL6A1; COL6A2; ITGAD; ITGAE; COL4A2	176; 633; 960; 1280; 1281; 1282; 1284; 1285; 1286; 1289; 1291; 1292; 1294; 1296; 1306; 1307; 1634; 2534; 3655; 3672; 3673; 3679; 3680; 3681; 3682; 3685; 3687; 3688; 3694; 3696; 3918; 4060; 6382; 6385; 6464; 7148; 9672; 53358; 63827; 80781	83	83
0.000494002686736	0.291536713333	ECM proteins:Integrin alpha:Integrin beta	INOH	ITGA9; ACAN; ITGA2; BGN; ITGA7; COL3A1; COL2A1; LUM; DCN; TNXB; ITGA1; BCAN; ITGB1; COL8A2; ITGB6; COL18A1; CD44; COL4A4; COL4A3; ITGA6; COL4A1; LAMC2; COL16A1; ITGAX; COL15A1; ITGB8; COL7A1; SDC1; SDC3; SDC4; ITGAV; COL5A1; COL6A1; COL6A2; ITGAD; ITGAE; COL4A2	176; 633; 960; 1280; 1281; 1282; 1284; 1285; 1286; 1289; 1291; 1292; 1294; 1296; 1306; 1307; 1634; 3655; 3672; 3673; 3679; 3680; 3681; 3682; 3685; 3687; 3688; 3694; 3696; 3918; 4060; 6382; 6385; 7148; 9672; 63827; 80781	78	78
0.00108180666553	0.291536713333	VTN:C5b:C6:C7:C8:C9	Reactome	C9; VTN; C8A; C8B; C7; C6; C5	727; 729; 730; 731; 732; 735; 7448	8	8
0.00169040995704	0.291536713333	Integrin signaling protein complex	INOH	ITGA9; PTK2; ACAN; ITGA2; BGN; ITGA7; COL3A1; COL2A1; LUM; DCN; TNXB; ITGA1; BCAN; ITGB1; COL8A2; ITGB6; COL18A1; CD44; COL4A4; COL4A3; ITGA6; COL4A1; LAMC2; COL16A1; ITGAX; COL15A1; ITGB8; COL7A1; SDC1; SDC3; SDC4; ITGAV; COL5A1; COL6A1; COL6A2; ITGAD; ITGAE; COL4A2	176; 633; 960; 1280; 1281; 1282; 1284; 1285; 1286; 1289; 1291; 1292; 1294; 1296; 1306; 1307; 1634; 3655; 3672; 3673; 3679; 3680; 3681; 3682; 3685; 3687; 3688; 3694; 3696; 3918; 4060; 5747; 6382; 6385; 7148; 9672; 63827; 80781	85	85
0.00213061926563	0.291536713333	HGF:p-4Y-MET dimer:p-Y317-SHC1-2:GRB2:SOS1	Reactome	HGF; MET; GRB2; SHC1; SOS1	2885; 3082; 4233; 6464; 6654	5	5
0.00213061926563	0.291536713333	NGF/NGF R/SHC/GRB2/SOS-1	BioCarta	NGF; GRB2; NGFR; SOS1; SHC1	2885; 4803; 4804; 6464; 6654	5	5
0.00213061926563	0.291536713333	SNARE complex (VAMP4, STX6, STX16, VTI1a, VTI1b)	CORUM	STX6; VTI1A; VAMP4; VTI1B; STX16	8674; 8675; 10228; 10490; 143187	5	5
0.00213061926563	0.291536713333	Condensin I	Reactome	NCAPG; SMC2; SMC4; NCAPD2; NCAPH	9918; 10051; 10592; 23397; 64151	5	5
0.00326515916589	0.291536713333	Condensin I-PARP-1-XRCC1 complex	CORUM	SMC2; PARP1; NCAPD2; SMC4; NCAPH; NCAPG	142; 9918; 10051; 10592; 23397; 64151	7	7
0.00326515916589	0.291536713333	Membrane Attack Complex	Reactome	C9; C8A; C8B; C7; C6; C5	727; 729; 730; 731; 732; 735	7	7
