p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
8.76599278156e-14	8.76599278156e-12	GO:0044822	m	5	poly(A) RNA binding	132; 310; 372; 498; 708; 821; 1479; 1653; 1656; 1974; 1977; 1982; 1993; 2193; 2287; 2317; 2547; 2804; 2896; 2923; 3006; 3008; 3032; 3068; 3190; 3191; 3313; 3329; 3608; 3875; 3895; 4076; 4116; 4191; 4329; 4440; 4670; 5037; 22864; 6134; 6194; 6230; 6233; 6238; 6294; 6625; 6731; 6741; 55854; 7520; 7532; 7756; 7913; 23196; 8366; 8666; 9530; 23435; 9728; 10146; 10236; 10270; 10946; 11072; 11315; 11338; 84128; 4869; 8165; 51663; 118487; 27327; 54148; 200205; 54464; 153443; 55660; 22938; 55749; 23029; 23378; 23524; 57470; 56478; 25804; 26528; 6431; 28977; 64761; 196513	HIST1H4B; ZFR; HSPA9; LRRC47; CAPRIN1; CANX; PEBP1; PARK7; EIF3G; ZC3H15; EIF4ENIF1; HDGF; MAGOH; ZNF207; SRFBP1; SAFB; R3HDM2; MRPL39; RPL10; HIST1H1C; AKAP1; RPS6; EIF4G2; AKAP8; ARCN1; MRPL42; DDX6; IBA57; XRN1; FKBP3; TNRC6A; ELAVL2; RRP8; PARP12; RPS27A; DEK; DCP1B; CCAR1; XRCC5; XRCC6; CHCHD1; U2AF2; SECISBP2L; EIF4A2; RBM34; SF3A3; RRBP1; DDX1; EIF4E; FLNB; HNRNPR; SSB; BAG4; FAM120A; GRN; C1QBP; ATP5A1; PRPF40A; HNRNPK; HNRNPL; HNRNPM; SNRNP70; RPS25; HIST1H1E; ADK; TARDBP; SRP72; FARSA; KTN1; MDH2; HADHB; HSPD1; GOLGB1; YWHAG; ANXA7; LSM4; MSI1; PDIA3; ALDH6A1; SRSF6; DUSP14; NPM1; DAZAP1; SNW1; SRRM2; CSTF3; G3BP1; KRT18; WDR75; ILF2	1184	1180
4.03591863516e-07	0.000175707148513	GO:0051246	b	5	regulation of protein metabolic process	16; 207; 246; 324; 334; 472; 23787; 537; 629; 673; 708; 805; 885; 998; 1025; 1028; 1032; 1361; 1408; 1464; 1653; 1656; 1739; 1856; 1889; 1946; 1967; 1974; 1977; 1982; 2033; 2058; 2272; 10987; 2319; 2339; 2651; 3077; 3190; 3329; 3456; 3697; 4038; 4076; 4116; 4179; 4193; 4602; 4615; 5023; 5037; 5269; 5314; 5335; 5345; 5536; 5580; 5585; 5600; 5604; 5887; 5979; 5998; 6198; 6233; 6237; 6376; 6598; 6646; 7039; 7184; 7248; 7251; 7525; 7529; 7532; 7879; 8651; 8666; 8844; 9217; 9353; 9530; 23435; 10018; 10040; 10134; 10236; 10270; 10507; 10519; 10550; 10653; 10856; 10972; 11072; 11221; 11315; 11331; 84152; 80279; 440730; 4869; 8165; 117584; 83737; 51024; 51050; 51347; 51429; 27327; 54205; 54472; 55432; 22938; 23400; 57336; 57506; 56478; 90637; 80829; 124790; 27035; 27250; 389840; 22843	TRIM67; FHIT; MAP3K15; AKT1; CCK; CAPRIN1; CIB1; APLP2; SEMA4D; TMED10; DLG1; PEBP1; CALM2; PARK7; ATP6AP1; EIF3G; EIF4ENIF1; MYB; MAGOH; FNTA; CDKN2D; RFFL; ZNF287; MDM2; SERPINB6; SOCS1; MTCH1; CSPG4; EIF4G2; AKAP8; CPB2; PLCG1; DDX6; DDX1; PKHD1; MAVS; CDK5RAP3; TSG101; TNRC6A; CDKN1C; SNX9; RPS27A; HSP90B1; COPS5; RRAS; ZFP91; TGFA; PPM1E; PPP1R1B; RUVBL2; ARL6IP5; CX3CL1; KSR1; MYD88; ZFAND2A; SPINT2; RAB7A; APC; EIF4E; TOLLIP; PPP5C; FLOT2; AKAP1; EIF4A2; SOAT1; RAD23B; BAG4; ATM; VAPB; RET; EIF2B1; MAPK11; ITIH1; HFE; TSC1; HNRNPR; RPS6KB1; C1QBP; IFNB1; HNRNPK; HEXIM2; PDCD4; EFNA5; SERPINF2; EP300; TARDBP; BCAP31; NOX1; LRP4; ALOX15; FIS1; CDK9; CDC42; TAOK3; ITCH; PHB2; CYCS; MAP2K1; ECE1; P2RX1; YES1; BCL2L11; GCNT2; ATP13A2; CRY2; DVL2; HSPD1; SLIT2; RGS3; YWHAB; EPRS; YWHAG; PI15; SMARCB1; PKN1; CD46; PRKCD; DUSP14; NPM1; DUSP10; SNW1; YOD1; AARS; CFB; BRAF; TOM1L1	2476	2470
4.88754237867e-07	0.000175707148513	GO:0033365	b	5	protein localization to organelle	207; 546; 950; 1408; 1540; 1653; 2033; 2803; 2923; 3176; 3916; 4193; 4670; 5580; 23607; 6134; 6194; 6230; 6233; 6731; 6741; 7095; 7529; 7532; 56993; 7879; 8809; 9530; 9804; 10018; 10059; 23527; 10134; 10527; 10576; 10651; 10694; 10856; 10939; 10971; 11315; 11331; 11338; 84128; 80279; 84572; 8165; 83548; 51024; 54472; 23177; 57506; 26519; 26520; 27072; 4893; 56910; 64901	U2AF2; BAG4; PHB2; RPS27A; TIMM9; SEC62; RPS6; AFG3L2; TOMM20; TOMM22; RANBP17; CCT8; BCL2L11; VPS41; RUVBL2; CCT2; PARK7; YWHAQ; NRAS; CRY2; GOLGA4; HNRNPM; TIMM10; YWHAB; SRP72; HNMT; MTX2; RAB7A; RPS25; GNPTG; COG3; YWHAG; PDIA3; PRKCD; ACAP2; IL18R1; RPL10; LAMP1; IPO7; ATRX; MDM2; EP300; CDK5RAP3; BCAP31; CEP68; AKAP1; TOLLIP; AKT1; SCARB2; CD2AP; FIS1; CYLD; DDX1; DNM1L; MAVS; WDR75; STARD7; SSB	879	878
1.00243863582e-06	0.000181759680659	GO:0045786	b	5	negative regulation of cell cycle	207; 274; 324; 472; 546; 864; 1025; 1028; 1032; 1063; 1739; 1874; 1982; 2033; 4193; 5604; 5934; 6194; 6233; 7158; 7248; 7251; 23087; 7756; 7976; 8649; 9700; 10040; 10397; 10498; 56155; 80279; 4869; 51347; 54962; 55055; 23378; 124790; 27250	TSG101; CDKN1C; TEX14; ATM; CARM1; TRIM35; RPS6; MAP2K1; ZWILCH; NDRG1; BIN1; TSC1; DLG1; FZD3; CDKN2D; TIPIN; HEXIM2; RRP8; ESPL1; PDCD4; ZNF207; RPS27A; RBL2; CENPF; TP53BP1; APC; ATRX; MDM2; EP300; NPM1; CDK5RAP3; TAOK3; E2F4; AKT1; EIF4G2; RUNX3; TOM1L1; CDK9; LAMTOR3	513	505
1.23521581388e-06	0.000181759680659	GO:0032268	b	5	regulation of cellular protein metabolic process	16; 207; 246; 324; 334; 472; 23787; 537; 673; 708; 805; 885; 998; 1025; 1028; 1032; 1361; 1408; 1464; 1653; 1656; 1739; 1856; 1889; 1946; 1967; 1974; 1977; 1982; 2033; 2058; 2272; 10987; 2339; 2651; 3077; 3329; 3456; 3697; 4038; 4076; 4116; 4179; 4193; 4602; 4615; 5023; 5037; 5269; 5314; 5335; 5345; 5536; 5580; 5585; 5600; 5604; 5887; 5979; 5998; 6198; 6233; 6237; 6376; 6598; 7039; 7184; 7248; 7251; 7525; 7529; 7532; 8651; 8666; 8844; 9217; 9353; 9530; 23435; 10018; 10040; 10134; 10236; 10270; 10507; 10519; 10550; 10653; 10856; 11072; 11221; 11315; 11331; 84152; 80279; 440730; 4869; 8165; 117584; 83737; 51024; 51050; 51347; 51429; 27327; 54205; 54472; 22938; 23400; 57506; 56478; 90637; 80829; 124790; 27035; 27250; 389840; 22843	TRIM67; FHIT; MAP3K15; AKT1; CCK; CAPRIN1; APLP2; SEMA4D; AKAP1; DLG1; PEBP1; CALM2; PARK7; ATP6AP1; EIF3G; EIF4ENIF1; MYB; MAGOH; FNTA; CDKN2D; RFFL; MDM2; SERPINB6; SOCS1; MTCH1; CSPG4; EIF4G2; AKAP8; CPB2; PLCG1; DDX6; DDX1; PKHD1; MAVS; CDK5RAP3; TSG101; TNRC6A; CDKN1C; SNX9; RPS27A; HSP90B1; COPS5; RRAS; ZFP91; TGFA; PPM1E; PPP1R1B; RUVBL2; ARL6IP5; CX3CL1; KSR1; MYD88; ZFAND2A; SPINT2; APC; EIF4E; TOLLIP; PPP5C; EIF4A2; RAD23B; BAG4; ATM; VAPB; RET; EIF2B1; MAPK11; ITIH1; HFE; TSC1; HNRNPR; RPS6KB1; C1QBP; IFNB1; CIB1; HEXIM2; PDCD4; EFNA5; SERPINF2; EP300; TARDBP; BCAP31; NOX1; LRP4; ALOX15; FIS1; CDK9; CDC42; TAOK3; ITCH; PHB2; CYCS; MAP2K1; ECE1; P2RX1; YES1; BCL2L11; GCNT2; ATP13A2; CRY2; DVL2; HSPD1; SLIT2; RGS3; YWHAB; EPRS; YWHAG; PI15; SMARCB1; PKN1; CD46; PRKCD; DUSP14; NPM1; DUSP10; SNW1; AARS; BRAF; TOM1L1	2327	2321
1.26397552614e-06	0.000181759680659	GO:0006915	b	5	apoptotic process	16; 207; 274; 324; 472; 23787; 673; 708; 885; 998; 1032; 1121; 1366; 1540; 1603; 1889; 1946; 1960; 2019; 2033; 2139; 2272; 2339; 2923; 3190; 3313; 3329; 3456; 3482; 3714; 3875; 3916; 4170; 4193; 4615; 4831; 4889; 4909; 5023; 5314; 5580; 5585; 5641; 5664; 5876; 5924; 5979; 6194; 6198; 6233; 6376; 7039; 7184; 7374; 7417; 23087; 7529; 7532; 7976; 8837; 9135; 9353; 9530; 23435; 9700; 10018; 10059; 10134; 10224; 10397; 10507; 10519; 10550; 10758; 10971; 11132; 11315; 11331; 80034; 80279; 80331; 4869; 117584; 83737; 51024; 51129; 54205; 55288; 22938; 55749; 23365; 23378; 56751; 27035; 27250; 60560; 64344	HIF3A; FHIT; HSPA9; AKT1; CCK; CIB1; SEMA4D; PARK7; ESPL1; ARHGEF12; FNTA; CDKN2D; RFFL; CHM; JAG2; MDM2; MTCH1; NME2; ZNF443; ANGPTL4; CYLD; PKHD1; RRP8; RPS27A; HSP90B1; NOX1; NDRG1; TGFA; EGR3; ARL6IP5; CSRNP3; EN1; CX3CL1; TRAF3IP2; MYD88; CLDN7; APC; LGMN; DNAJC5; BARHL1; KRT18; BAG4; ATM; RET; RPS6; RHOT1; VDAC2; IGF2R; FZD3; PSEN2; RPS6KB1; C1QBP; IFNB1; CFLAR; HNRNPK; RABEP1; PDCD4; NTF4; EFNA5; TRIM35; LAMP1; UNG; EP300; TARDBP; BCAP31; RASGRF2; NPY5R; NAA35; CAPN10; FIS1; CDK5RAP3; CDC42; ITCH; PHB2; CYCS; MCL1; ECE1; CCAR1; P2RX1; DAD1; BCL2L11; BIN1; YWHAQ; HSPD1; SLIT2; YWHAB; YWHAG; EYA2; PKN1; PDIA3; PRKCD; NPM1; SNW1; AARS; RABGGTB; BRAF; DNM1L	1817	1805
2.01979756524e-06	0.000242039074901	GO:0033043	b	5	regulation of organelle organization	27; 207; 246; 324; 472; 546; 673; 708; 998; 1063; 1073; 1540; 1739; 1946; 2033; 2242; 3176; 5314; 5345; 5580; 5604; 23607; 5868; 7039; 7248; 7251; 7520; 7529; 7532; 7756; 7879; 9353; 9530; 9700; 9723; 10018; 10040; 10059; 10458; 10519; 10576; 10694; 56155; 10971; 11315; 11331; 11338; 84128; 80115; 4869; 81876; 51024; 79959; 23400; 57175; 57506; 27072; 29085; 29766; 22843; 56910	TSG101; PHPT1; YWHAQ; BAG4; ZNF207; PHB2; TEX14; ATM; CORO1B; AKT1; MAP2K1; CIB1; ABL2; XRCC5; ATP13A2; TSC1; DLG1; CCT8; BCL2L11; U2AF2; PPM1E; CCT2; BAIAP2L2; PARK7; BAIAP2; C1QBP; DNM1L; ESPL1; SLIT2; YWHAB; HNMT; TGFA; RAB7A; RAB5A; APC; CENPF; EFNA5; RAB1B; PRKCD; TMOD3; FES; SERPINF2; ATRX; EP300; NPM1; VPS41; MAVS; SEMA3E; ALOX15; CD2AP; CEP76; FIS1; CYLD; BRAF; TOM1L1; PKHD1; YWHAG; CDC42; WDR75; STARD7; CFL2	986	984
3.61783378441e-06	0.000371603212999	GO:0006461	b	5	protein complex assembly	35; 163; 246; 324; 673; 885; 998; 1063; 1366; 1540; 1739; 1856; 1946; 2033; 2058; 2242; 2271; 2547; 2705; 3077; 3329; 3755; 4038; 4193; 4938; 5023; 5536; 5580; 5589; 23607; 6376; 6529; 7039; 7053; 7248; 7283; 7381; 7417; 7529; 7756; 8366; 8543; 9076; 9351; 9353; 9530; 9804; 10018; 10059; 10113; 10458; 10576; 10694; 10810; 10939; 10972; 11315; 51103; 51364; 80115; 4869; 81876; 51024; 51129; 51429; 84869; 57120; 57175; 123872; 25915; 27072; 4698; 29766	HIST1H4B; SLC6A1; ACADS; ZMYND10; BAG4; ZNF207; TMED10; KCNG1; SNX9; NDUFAF3; CORO1B; P2RX1; ALOX15; PRKCSH; NDUFAF1; TOMM20; CCK; DNAAF1; FH; VDAC2; PREB; HFE; AP2B1; XRCC6; DLG1; OAS1; CCT8; TGM3; BCL2L11; VPS41; WASF3; GJB1; UQCRB; PARK7; BAIAP2; DVL2; HSPD1; FIS1; SLIT2; BAIAP2L2; CX3CL1; CLDN1; EPRS; TSC1; CLDN7; TGFA; NDUFA5; ANGPTL4; CENPF; EFNA5; RAB1B; PRKCD; YWHAB; CBR4; FES; DNM1L; MDM2; EP300; NPM1; GOPC; LRP4; PPP5C; LMO4; CD2AP; TUBG1; CCT2; AFG3L2; CYLD; BRAF; SLC9A3R2; APC; TMOD3; CDC42	1281	1276
4.82816308513e-06	0.000407955976071	GO:0046395	b	5	carboxylic acid catabolic process	35; 207; 2108; 2109; 2166; 2954; 3032; 3033; 3034; 3176; 3295; 3425; 4329; 152926; 6652; 8659; 9663; 10993; 11112; 51084; 51268; 23576	ACADS; AKT1; HIBADH; LPIN2; HADHB; PPM1K; HSD17B4; HNMT; ETFA; ETFB; HAL; CRYL1; SORD; ALDH6A1; ALDH4A1; IDUA; HADH; FAAH; SDS; PIPOX; GSTZ1; DDAH1	221	221
5.1065421205e-06	0.000407955976071	GO:0043067	b	5	regulation of programmed cell death	16; 207; 274; 324; 472; 23787; 673; 708; 885; 998; 1032; 1121; 1366; 1540; 1603; 1960; 2019; 2033; 2923; 3190; 3313; 3329; 3456; 3482; 3875; 4170; 4193; 4615; 4831; 4889; 4909; 5023; 5314; 5580; 5641; 5664; 5876; 5924; 5979; 6194; 6198; 6233; 6376; 7039; 7184; 7374; 7417; 23087; 7529; 7532; 7976; 8837; 9353; 9530; 10018; 10059; 10134; 10397; 10507; 10519; 10550; 10971; 11132; 11315; 11331; 80034; 80331; 4869; 117584; 83737; 51024; 51129; 54205; 23365; 56751; 27035; 27250; 60560	ANGPTL4; BAG4; PHB2; RPS6KB1; HSPA9; ATM; RET; NOX1; AKT1; UNG; MCL1; CCK; NDRG1; P2RX1; VDAC2; IGF2R; DAD1; MDM2; TGFA; FZD3; BCL2L11; ITCH; CSRNP3; EN1; EGR3; PARK7; YWHAQ; RPS6; C1QBP; IFNB1; HSPD1; HNRNPK; CFLAR; RASGRF2; CX3CL1; PDCD4; MYD88; YWHAG; CLDN7; ARHGEF12; RPS27A; NTF4; CDKN2D; SLIT2; ARL6IP5; PDIA3; CHM; SEMA4D; PRKCD; YWHAB; HSP90B1; PKHD1; BIN1; EP300; NPM1; RFFL; TRIM35; NAA35; BCAP31; LGMN; DNM1L; NME2; MTCH1; NPY5R; CIB1; DNAJC5; AARS; BARHL1; CAPN10; RABGGTB; FIS1; CYLD; BRAF; CYCS; PSEN2; APC; KRT18; CDC42	1409	1406
