p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
7.52631517737e-14	5.94578899012e-12	GO:0044822	m	5	poly(A) RNA binding	375; 498; 988; 54890; 1938; 1974; 1977; 2804; 2923; 3068; 3183; 3326; 3329; 3608; 3875; 4116; 4191; 4440; 4670; 4904; 6103; 6134; 6194; 6238; 6426; 6428; 6626; 170506; 7298; 7430; 7532; 7756; 7873; 8125; 8666; 8667; 9188; 9349; 9530; 23435; 9584; 9967; 124245; 79026; 23013; 4869; 8165; 83640; 51069; 84081; 51649; 51663; 27327; 55660; 23112; 26097; 26528; 27037; 4691; 6431; 554313; 64761; 7145	PRPF40A; NCL; BAG4; RPGR; TNRC6B; RPS6; TRMT2A; MDH2; TNRC6A; ANP32A; EIF3G; HIST2H4B; DHX36; EIF3H; FAM103A1; SRSF6; SRSF1; SRSF3; ARF1; RPL23; EIF4A2; HSP90AB1; HSPD1; HNRNPM; MANF; ZFR; ZC3H18; RRBP1; HDGF; RBM39; MAGOH; ZNF207; CDC5L; NSRP1; THRAP3; ALKBH5; MSI1; CHTOP; PDIA3; RPL10; AHNAK; EIF4E; SNRPA; NPM1; TNS1; TARDBP; DAZAP1; DDX21; HNRNPC; AKAP1; PARP12; MRPS23; EZR; YWHAG; SPEN; TYMS; GOLGB1; MRPL2; ILF2; YBX1; ATP5A1; EEF2; KRT18	1184	1180
1.15748613233e-10	6.41247317309e-08	GO:0010468	b	5	regulation of gene expression	25; 60; 320; 472; 988; 1499; 1788; 1856; 1938; 1974; 1977; 2034; 2100; 2241; 2272; 2319; 2651; 2804; 3068; 3183; 3219; 3297; 3303; 3309; 3608; 3660; 4092; 4116; 4117; 4831; 4904; 5074; 5091; 5111; 5155; 5295; 5511; 5515; 5564; 5585; 5598; 5694; 5701; 5713; 6257; 6428; 6492; 6597; 170506; 6934; 7112; 7290; 7298; 7430; 7525; 7694; 7705; 7756; 7984; 8125; 23186; 8323; 8358; 8452; 6872; 8467; 8548; 8666; 8667; 8837; 8863; 8877; 8891; 9188; 9219; 23435; 9584; 9792; 9967; 9968; 9972; 10084; 10224; 10272; 10614; 10626; 10808; 11160; 11178; 11331; 11335; 340719; 79026; 23013; 4869; 323; 81606; 81620; 8335; 84081; 84164; 51651; 51710; 27327; 54454; 54737; 54862; 54951; 55290; 219541; 23112; 23189; 56341; 56751; 56995; 57459; 57506; 57645; 353274; 26048; 26097; 26528; 285676; 26959; 27148; 4691; 83879; 6431; 29843; 554313; 63973; 96764; 5245; 64800; 65018	HSF1; FHIT; HSPA5; TRIM16; TNRC6B; TNRC6A; ANP32A; EIF3H; COMMD8; DAZAP1; ZNF146; ARHGEF5; FSTL3; APBB2; EIF3G; LBH; HDGF; MAGOH; CUL3; ZNF207; PRMT8; SMAD7; NSRP1; ZNF445; CHTOP; EIF2B3; PER3; PTRH2; BARHL1; NME2; ZNF443; PPP2CA; PHB; PQBP1; TCF7L2; SPEN; MAK; MAVS; YBX1; CDC5L; CC2D1A; PINK1; DHX36; MPHOSPH8; SRSF6; HSPH1; SRSF3; ZNF454; AHNAK; TULP4; PC; PIK3R1; NEUROG2; RBM39; LZTS1; HOXB9; PRKAB1; SENP1; HEXIM1; EIF4E; ACTB; IRF2; ESR2; TAF1; NANOS1; NCL; NUP153; FLOT2; ASCC2; EFCAB6; EIF4A2; ATM; SPHK1; PPP1R8; BRF2; RCOR1; ABL1; CBX3; FZD6; CDT1; CFLAR; MAPK7; HNRNPC; THRAP3; EPAS1; RXRB; TGS1; FER; PAWR; TARDBP; APBA1; ERLIN2; HIRA; GATAD2B; PSMB6; ATAD2B; ZNF135; TMPO; PHB2; PSMD7; CTNNB1; HSPA1A; ZNF44; SMARCA4; SMARCA5; YES1; HIST1H2AB; SIM1; GCNT2; HIST2H4B; BLZF1; DVL2; MED12; CDCA7; MED19; PSMC2; MTA2; PCNA; PDGFB; DNMT3A; STK36; PKN1; SERTAD2; HIST1H3B; ZNF500; NPM1; POGK; DDX21; EZR; HBP1; TYMS; GOLGB1; KANK1; EEF2; ILF2	4304	4289
8.08546810711e-10	3.19375990231e-08	GO:0032550	m	5	purine ribonucleoside binding	25; 60; 375; 472; 498; 1326; 1938; 1974; 2041; 2046; 2241; 2242; 2617; 2983; 3303; 3308; 3309; 3326; 3329; 3608; 3735; 3798; 55278; 4117; 4141; 4831; 4881; 4905; 201625; 5091; 5127; 5585; 5598; 5701; 5861; 5862; 5868; 5917; 6597; 170506; 7155; 7184; 7297; 7525; 7879; 7984; 6872; 8467; 8877; 9188; 9367; 9833; 9874; 9967; 10112; 10767; 10808; 10939; 11269; 80222; 80308; 50640; 51135; 84893; 54454; 284076; 55466; 9263; 56897; 27148; 27175; 201475; 65018	KARS; SPHK1; ARHGEF5; HSPA5; EPHA8; RAB12; ATM; FBXO18; EPHA1; WRNIP1; RAB2A; HSPA1A; AFG3L2; ABL1; MAK; SMARCA4; TYK2; DHX36; QRSL1; MAP3K8; KIF20A; DNAH12; PC; FLAD1; ARF1; HSPA4; CDK16; TTLL6; NSF; SMARCA5; HSP90AB1; HSPD1; RARS; MAPK7; YES1; PSMC2; HBS1L; TOP2B; DDX19B; NPR1; RAB7A; TARS2; RAB5A; THRAP3; PKN1; STK17A; MARS; RAB1A; DNAJA4; FER; FES; ATAD2B; GARS; HSPH1; RAB9A; DDX21; PNPLA8; TLK1; TAF1; NME2; KIF5A; PINK1; HSP90B1; MELK; TUBG2; IRAK4; STK36; GUCY1B3; ACTB; EIF4A2; ATP5A1; EEF2; ILF2	1845	1833
1.63640481315e-09	4.30919934131e-08	GO:0019901	m	5	protein kinase binding	25; 324; 988; 1464; 1499; 1856; 1938; 2041; 2339; 3326; 3996; 4881; 4905; 5074; 5111; 5295; 5335; 5564; 5585; 5598; 6194; 6464; 6934; 7155; 7430; 7532; 9043; 10112; 3688; 4869; 8165; 57468; 57506; 65018	ITGB1; EPHA1; CTNNB1; RPS6; PLCG1; EZR; ABL1; SHC1; HSP90AB1; SPAG9; NSF; DVL2; MAPK7; PIK3R1; TOP2B; YWHAG; PCNA; NPR1; CDC5L; FNTA; PRKAB1; PKN1; PAWR; NPM1; AKAP1; CSPG4; LLGL1; PINK1; TCF7L2; SLC12A5; APC; MAVS; EEF2; KIF20A	549	548
8.4303671907e-09	1.61002580646e-06	GO:0051252	b	5	regulation of RNA metabolic process	25; 988; 1499; 1788; 1856; 1974; 2034; 2100; 2241; 2272; 2804; 3068; 3219; 3297; 3303; 3309; 3608; 3660; 4092; 4116; 4117; 4831; 4904; 5074; 5111; 5155; 5295; 5511; 5515; 5585; 5598; 5701; 6257; 6428; 6492; 6597; 170506; 6934; 7112; 7290; 7298; 7430; 7525; 7694; 7705; 7756; 7984; 8125; 23186; 8323; 8358; 8452; 6872; 8467; 8548; 8837; 8863; 8877; 9219; 23435; 9584; 9792; 9967; 9968; 10084; 10224; 10272; 10614; 10626; 10808; 11160; 11178; 11331; 11335; 340719; 79026; 23013; 4869; 323; 81606; 81620; 8335; 84081; 84164; 51710; 54454; 54737; 54862; 54951; 55290; 219541; 23112; 23189; 56341; 56751; 56995; 57459; 57506; 57645; 353274; 26048; 26097; 26528; 285676; 26959; 27148; 4691; 83879; 6431; 29843; 554313; 63973; 96764; 5245; 64800; 65018	HSF1; FHIT; HSPA5; TRIM16; TNRC6B; ANP32A; COMMD8; DAZAP1; ZNF146; ARHGEF5; FSTL3; APBB2; LBH; HDGF; MAGOH; CUL3; ZNF207; PRMT8; ZNF44; NSRP1; CHTOP; PER3; ZNF445; BARHL1; NME2; ZNF443; PPP2CA; PHB; PQBP1; TCF7L2; SPEN; MAK; MAVS; YBX1; CDC5L; CC2D1A; PINK1; DHX36; MPHOSPH8; SRSF6; HSPH1; SRSF3; ZNF454; AHNAK; TULP4; PIK3R1; NEUROG2; RBM39; LZTS1; HOXB9; SENP1; HEXIM1; BRF2; IRF2; ESR2; ERLIN2; NANOS1; NCL; STK36; ASCC2; EFCAB6; EIF4A2; SMAD7; SPHK1; PPP1R8; RCOR1; ABL1; CBX3; FZD6; CDT1; CFLAR; MAPK7; THRAP3; EPAS1; RXRB; TGS1; FER; PAWR; TARDBP; TAF1; HIRA; GATAD2B; ATAD2B; ZNF135; TMPO; PHB2; CTNNB1; HSPA1A; SMARCA4; SMARCA5; YES1; HIST1H2AB; SIM1; HIST2H4B; BLZF1; DVL2; MED12; CDCA7; MED19; PSMC2; MTA2; PCNA; PDGFB; DNMT3A; PKN1; SERTAD2; HIST1H3B; ZNF500; NPM1; POGK; EZR; HBP1; TYMS; GOLGB1; KANK1; ILF2	3727	3714
1.06472514658e-08	1.61002580646e-06	GO:0016071	b	5	mRNA metabolic process	472; 988; 54890; 1974; 1977; 3183; 3303; 4116; 4670; 4904; 5511; 5515; 6134; 6194; 6426; 6428; 6626; 9128; 9349; 23435; 9584; 9967; 10084; 340719; 23013; 83640; 84081; 151987; 55660; 23112; 55954; 26097; 26528; 28960; 6431; 96764	ATM; TNRC6B; PPP4R2; RPS6; HSPA1A; ZMAT5; PRPF40A; PRPF4; DCPS; FAM103A1; SRSF6; SRSF1; SRSF3; PPP1R8; RPL23; HNRNPM; HNRNPC; RBM39; MAGOH; CDC5L; NSRP1; THRAP3; CHTOP; TGS1; RPL10; EIF4E; SNRPA; TARDBP; DAZAP1; PPP2CA; PQBP1; SPEN; NANOS1; ALKBH5; YBX1; EIF4A2	652	650
1.07234767943e-08	2.11788666687e-07	GO:0030554	m	5	adenyl nucleotide binding	25; 60; 472; 498; 1326; 1974; 2041; 2046; 2241; 2242; 2617; 3303; 3308; 3309; 3326; 3329; 3608; 3735; 3798; 55278; 4117; 4141; 4831; 4881; 4905; 201625; 5091; 5127; 5585; 5598; 5701; 5917; 6597; 170506; 7155; 7184; 7297; 7525; 6872; 8467; 8877; 9188; 9530; 9833; 9874; 9967; 10112; 10808; 10939; 11269; 80222; 80308; 50640; 51135; 84893; 54454; 284076; 55466; 9263; 56897; 27148; 65018	KARS; SPHK1; HSPA5; EPHA8; ATM; FBXO18; EPHA1; WRNIP1; PINK1; HSPA1A; AFG3L2; BAG4; ABL1; TYK2; SMARCA4; SMARCA5; DHX36; QRSL1; MAP3K8; KIF20A; DNAH12; PC; FLAD1; ATP5A1; HSPA4; CDK16; TTLL6; NSF; GARS; HSP90AB1; HSPD1; RARS; MAPK7; YES1; PSMC2; PNPLA8; TOP2B; DDX19B; NPR1; TARS2; THRAP3; PKN1; STK17A; DNAJA4; FER; FES; ATAD2B; ACTB; HSPH1; DDX21; TLK1; TAF1; NME2; KIF5A; HSP90B1; MELK; IRAK4; STK36; MARS; MAK; EIF4A2; ILF2	1538	1531
1.30799316813e-08	1.61002580646e-06	GO:0019219	b	5	regulation of nucleobase-containing compound metabolic process	25; 472; 988; 1499; 1788; 1856; 1974; 2034; 2100; 2241; 2272; 2804; 3068; 3183; 3219; 3297; 3303; 3309; 3608; 3660; 4092; 4116; 4117; 4831; 4881; 4904; 5074; 5111; 5155; 5295; 5511; 5515; 5585; 5598; 5701; 6257; 6428; 6464; 6492; 6597; 170506; 6934; 7112; 7290; 7298; 7430; 7525; 7694; 7705; 7756; 7984; 8125; 23186; 8323; 8358; 8452; 6872; 8467; 8548; 8837; 8863; 8877; 9219; 23435; 9584; 9792; 9967; 9968; 10084; 10224; 10272; 10614; 10626; 10808; 11160; 11178; 11331; 11335; 340719; 79026; 23013; 4869; 323; 81606; 81620; 8335; 84081; 84164; 51710; 84893; 151987; 54454; 54737; 54862; 54951; 55290; 219541; 23112; 23189; 56341; 56751; 56897; 56995; 57459; 57506; 57645; 353274; 26048; 26097; 26528; 285676; 26959; 27148; 4691; 83879; 6431; 29843; 554313; 63973; 96764; 5245; 64800; 65018	HSF1; FBXO18; FHIT; HSPA5; TRIM16; PPP4R2; TNRC6B; ANP32A; NSRP1; COMMD8; DAZAP1; ZNF146; ARHGEF5; FSTL3; APBB2; LBH; HDGF; MAGOH; CUL3; ZNF207; PRMT8; ATM; SHC1; CHTOP; PER3; ZNF445; BARHL1; NME2; ZNF443; PPP2CA; PHB; PQBP1; TCF7L2; SPEN; MAK; MAVS; YBX1; CDC5L; CC2D1A; PINK1; DHX36; MPHOSPH8; SRSF6; HSPH1; SRSF3; ZNF454; AHNAK; TULP4; PIK3R1; NEUROG2; RBM39; LZTS1; HOXB9; SENP1; HEXIM1; BRF2; IRF2; ESR2; ERLIN2; NANOS1; NCL; STK36; ASCC2; EFCAB6; EIF4A2; SMAD7; SPHK1; PPP1R8; RCOR1; ABL1; CBX3; FZD6; CDT1; CFLAR; MAPK7; HNRNPC; THRAP3; EPAS1; RXRB; TGS1; FER; PAWR; TARDBP; TAF1; HIRA; GATAD2B; ATAD2B; ZNF135; TMPO; NPR1; PHB2; WRNIP1; CTNNB1; HSPA1A; ZNF44; SMARCA4; SMARCA5; YES1; HIST1H2AB; SIM1; HIST2H4B; BLZF1; DVL2; MED12; CDCA7; MED19; PSMC2; MTA2; PCNA; PDGFB; DNMT3A; PKN1; SERTAD2; HIST1H3B; ZNF500; NPM1; POGK; EZR; HBP1; TYMS; GOLGB1; KANK1; ILF2	4066	4052
1.45309188308e-08	1.61002580646e-06	GO:0010556	b	5	regulation of macromolecule biosynthetic process	25; 472; 988; 1499; 1788; 1856; 1938; 1974; 1977; 2034; 2100; 2241; 2272; 2342; 2804; 3068; 3183; 3219; 3297; 3303; 3309; 3608; 3660; 4092; 4116; 4117; 4831; 4904; 5074; 5111; 5155; 5295; 5511; 5515; 5585; 5598; 5701; 6257; 6464; 6492; 6597; 170506; 6934; 7112; 7290; 7298; 7430; 7525; 7694; 7705; 7756; 7984; 8125; 23186; 8323; 8358; 8452; 6872; 8467; 8548; 8666; 8667; 8837; 8863; 8877; 8891; 9219; 23435; 9584; 9792; 9967; 9968; 10084; 10224; 10272; 10614; 10626; 10808; 11160; 11178; 11331; 11335; 340719; 23013; 4869; 323; 81606; 81620; 8335; 84164; 51710; 84893; 27327; 54454; 54737; 54862; 54951; 55290; 219541; 23112; 23189; 56341; 56751; 56897; 56995; 57459; 57506; 57645; 353274; 26048; 26097; 285676; 26959; 27148; 4691; 83879; 29843; 554313; 63973; 96764; 5245; 64800; 65018	HSF1; FBXO18; FHIT; HSPA5; TRIM16; TNRC6B; TNRC6A; ANP32A; EIF3H; COMMD8; ZNF146; ARHGEF5; FSTL3; APBB2; EIF3G; LBH; HDGF; MAGOH; CUL3; ZNF207; PRMT8; SMAD7; SHC1; FNTB; CHTOP; EIF2B3; PER3; ZNF445; BARHL1; NME2; ZNF443; PPP2CA; PHB; PQBP1; TCF7L2; SPEN; MAK; MAVS; YBX1; CDC5L; CC2D1A; PINK1; DHX36; MPHOSPH8; HSPH1; ZNF454; TULP4; PIK3R1; NEUROG2; RBM39; LZTS1; HOXB9; SENP1; HEXIM1; EIF4E; IRF2; ESR2; ERLIN2; NANOS1; NCL; STK36; ASCC2; EFCAB6; EIF4A2; ATM; SPHK1; PPP1R8; BRF2; RCOR1; ABL1; CBX3; FZD6; CDT1; CFLAR; MAPK7; HNRNPC; THRAP3; EPAS1; RXRB; TGS1; FER; PAWR; TARDBP; TAF1; HIRA; GATAD2B; ATAD2B; ZNF135; TMPO; PHB2; WRNIP1; CTNNB1; HSPA1A; ZNF44; SMARCA4; SMARCA5; YES1; HIST1H2AB; SIM1; HIST2H4B; BLZF1; DVL2; MED12; CDCA7; MED19; PSMC2; MTA2; PCNA; PDGFB; DNMT3A; PKN1; SERTAD2; HIST1H3B; ZNF500; NPM1; POGK; EZR; HBP1; TYMS; GOLGB1; KANK1; EEF2; ILF2	4071	4059
1.59046003146e-08	6.83897813527e-07	GO:0015630	c	5	microtubule cytoskeleton	324; 472; 1499; 2241; 2242; 2339; 2342; 3303; 3735; 3798; 3875; 4092; 4117; 4926; 201625; 5111; 5127; 5515; 6103; 6509; 7430; 7525; 7756; 8452; 9043; 56169; 9368; 9584; 9968; 10084; 10112; 10808; 10868; 11335; 116840; 4869; 83987; 151987; 80071; 284076; 54862; 55142; 9218; 22920; 23329; 27072; 27175; 93323; 64837	KARS; DNAH12; NUMA1; RPGR; SMAD7; PPP4R2; CTNNB1; HSPA1A; TTLL6; CC2D1A; KIFAP3; CBX3; YES1; USP20; VAPA; HAUS2; HSPH1; HAUS8; SLC9A3R1; GSDMC; CDK16; CNTROB; CCDC15; MED12; RBM39; CUL3; PCNA; ZNF207; ATM; FNTA; FNTB; SPAG9; FER; FES; CCDC8; NPM1; KLC2; VPS41; PPP2CA; KIF5A; PQBP1; EZR; TBC1D30; TUBG2; SLC1A4; APC; MAK; KIF20A; KRT18	1086	1083
