p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.45226477775e-10	1.36512889109e-08	GO:0044822	m	5	poly(A) RNA binding	105; 375; 498; 1029; 1653; 1965; 1974; 1982; 2287; 2885; 3006; 3066; 3148; 3183; 3191; 4076; 4191; 4236; 4440; 4670; 5216; 5339; 5394; 6134; 6208; 6230; 6294; 6428; 6732; 7175; 55854; 7458; 7756; 8106; 8565; 8570; 8661; 8880; 9045; 9100; 9130; 9343; 9360; 9530; 23435; 9601; 9875; 9939; 10128; 10284; 1728; 11168; 11315; 11325; 51747; 55149; 83640; 84081; 54888; 55269; 55596; 55621; 55749; 22985; 23524; 57003; 57510; 56478; 26284; 27000; 6431; 64761; 64975	HDAC2; LRPPRC; BAG4; RPS14; CCDC47; HMGB2; FKBP3; PSPC1; NQO1; TARDBP; RPS25; MDH2; MFAP1; CAPRIN1; CCAR1; EIF2S1; ERAL1; EXOSC10; ACIN1; SRSF6; FUBP1; RBM8A; SRSF3; EIF3A; ARF1; KHSRP; ZCCHC8; NSUN2; EFTUD2; PARP12; YARS; HNRNPL; HNRNPM; SAP18; TRMT1; EIF4ENIF1; ZC3H15; URB1; HNRNPC; LUC7L3; SRRM2; ZNF207; PABPN1; CDKN2A; NSRP1; MSI1; PDIA4; SAFB; RPL14; EIF4H; PARK7; PLEC; TPR; XPO5; MTPAP; SRPK1; HIST1H1C; PSIP1; FAM50A; EIF4G2; DDX42; ADARB2; USP10; DNAJC2; FAM103A1; PFN1; MRPL41; GRB2; DDX1; PPIG; RPL10; ATP5A1; EIF4A2	1184	1180
1.89982877749e-07	6.41363453479e-05	GO:0016071	b	5	mRNA metabolic process	105; 472; 676; 1653; 1859; 1974; 3183; 3191; 4670; 5394; 6134; 6208; 6230; 6235; 6294; 6428; 6732; 8106; 8570; 9045; 9128; 9343; 23435; 9939; 10284; 11168; 11193; 79084; 23404; 51747; 55149; 83640; 84081; 55269; 55596; 55749; 22985; 55954; 23524; 57721; 27339; 6431; 55629	PNRC2; RPS14; ATM; PSPC1; ZMAT5; EXOSC2; CCAR1; PRPF4; EXOSC10; SRSF6; RBM8A; SRSF3; PRPF19; KHSRP; EFTUD2; ZCCHC8; HNRNPL; HNRNPM; SAP18; DYRK1A; HNRNPC; LUC7L3; PABPN1; RPS25; NSRP1; ACIN1; SAFB; RPS29; RPL14; BRDT; RPL10; MTPAP; SRPK1; TARDBP; PSIP1; SRRM2; ADARB2; FAM103A1; METTL14; DDX1; WBP4; WDR77; EIF4A2	652	650
2.23294426483e-07	6.41363453479e-05	GO:0043043	b	5	peptide biosynthetic process	1468; 1653; 1725; 1965; 1974; 1982; 2729; 3735; 55278; 4076; 4141; 5464; 5594; 6134; 6195; 6199; 6208; 6230; 6235; 7175; 7458; 8565; 8661; 8891; 9045; 9255; 9343; 9481; 9939; 10128; 51204; 79017; 79731; 54998; 55005; 55173; 56478; 57721; 27068; 64215; 219402; 163255; 64975; 65018	KARS; LRPPRC; RPS14; MRPS10; EIF2B3; AIMP1; RPS25; MTIF3; PPA2; PPA1; CAPRIN1; PINK1; EIF2S1; SLC25A10; QRSL1; RBM8A; AURKAIP1; EIF3A; GCLC; RPS6KB2; EFTUD2; YARS; EIF4ENIF1; METTL14; ZNF540; DHPS; NARS2; RPS29; RPL14; RPL10; TPR; GGCT; SLC25A27; RMND1; RPS6KA1; EIF4G2; TACO1; DNAJC1; MRPL41; DDX1; MARS; MAPK1; EIF4A2; EIF4H	682	677
3.36229815039e-07	6.41363453479e-05	GO:0010468	b	5	regulation of gene expression	472; 672; 676; 1029; 1407; 1653; 1827; 1855; 1859; 1965; 1974; 1982; 2019; 2314; 2319; 2323; 2494; 55031; 2553; 2626; 2729; 3006; 3066; 3077; 3148; 3183; 3191; 3551; 3636; 4009; 4076; 4193; 4233; 4282; 4302; 4602; 4605; 4792; 4856; 5074; 5091; 5204; 5205; 5216; 5394; 5516; 5594; 5694; 5704; 5709; 5885; 5934; 5993; 6195; 6199; 6208; 6294; 6428; 6492; 6595; 6732; 6877; 7029; 121340; 7175; 137735; 7458; 7542; 7551; 7566; 7579; 7707; 7748; 7756; 8106; 23186; 8323; 8570; 8661; 8737; 8863; 8877; 8880; 8891; 9039; 9447; 23435; 9722; 9734; 9745; 9826; 9939; 10009; 10113; 10128; 10284; 10507; 10626; 10765; 10771; 10808; 11168; 11315; 51204; 79084; 79190; 79444; 80110; 23404; 80312; 80345; 146050; 81606; 81620; 2833; 8335; 221336; 84081; 51360; 51780; 3203; 150572; 221937; 54487; 134728; 54790; 54993; 55005; 55206; 55269; 55749; 22985; 22992; 55769; 23085; 23189; 23421; 23468; 56341; 56751; 56980; 253639; 25909; 140612; 57336; 57459; 57510; 57592; 57684; 56478; 57721; 221786; 81566; 91074; 353274; 26205; 124790; 26586; 27000; 27250; 27339; 6431; 29843; 128408; 64215; 64428; 163255; 55629; 65018; 54583	BHLHE23; LRPPRC; TRIM16; ARHGEF11; PSPC1; TACO1; CRY1; IKBKB; CAPRIN1; SEMA4D; GATA4; DGCR8; EN1; EIF3A; PARK7; AHCTF1; HDAC9; FLII; ZSCAN29; SAP18; DYRK1A; LBH; MYB; ZSCAN20; METTL14; BRCA1; ZNF207; PRMT8; CDKN2A; NSRP1; ACIN1; SAFB; ZNF687; SP7; PER3; TPR; MDM2; MIF; ZNF445; MBTPS2; BARHL1; EIF4G2; PPP2CB; ATP8B1; DDX1; RFX5; ZBTB26; KDM5B; ZSCAN16; ZNF195; FOXK1; FUBP1; KDM2A; EXOSC2; CCAR1; FAM200A; ZSCAN2; SRSF6; XPO5; HSPH1; SRSF3; HOXA6; USP47; KHSRP; CSRNP2; PC; NR5A2; ZNF287; ZBTB33; ZFP28; LMX1A; SENP1; UBA3; HEXIM2; PNRC2; RPS6KA1; TAF5; PSIP1; ZNF614; PRDM10; PINK1; DNAJC1; DNAJC2; PFN1; FLOT2; ZNF148; KDM3B; NOV; TFDP2; EIF4H; HDAC2; RCAN1; ZNF620; ATM; EIF2B3; RCOR1; CBX5; HFE; EXOSC10; ZNF536; RBM8A; FZD6; CDT1; RPS6KB2; MAPK1; HNRNPL; ERC1; PDCD4; HNRNPC; BEND6; GABPB1; PFDN5; RBL2; TET1; TET2; EGLN1; AIM2; BRDT; FLT3LG; GMEB2; PAWR; SRPK1; HIST1H1C; IRX6; ITGB3BP; PREB; MET; GATAD2B; PSMB6; SPHK1; RPS14; BIRC7; HMGB2; PSMD3; RIPK1; IRAK1BP1; TARDBP; ZNF18; ZMYND11; SMARCA2; MYBL2; EIF2S1; HIST1H2AB; SIM1; ZNF3; INPPL1; PRPF19; MLLT6; GCLC; CXCR3; ZNF83; DVL1; NARFL; EIF4ENIF1; PSMC4; PABPN1; NFKBIA; RAD21; ZFPL1; SMYD1; ANKRD30A; RMND1; SBNO1; NOS1AP; ZNF540; ABRA; KANK1; CKAP2; EIF4A2; WDR77	4304	4289
5.19638700808e-07	6.41363453479e-05	GO:0006396	b	5	RNA processing	105; 636; 676; 1029; 1653; 1859; 3183; 3191; 3735; 4670; 5394; 6134; 6208; 6230; 6235; 6294; 6428; 6732; 8106; 8570; 8780; 9045; 9128; 9343; 9360; 23435; 9939; 10284; 11168; 11193; 79084; 23404; 51747; 55149; 83640; 84081; 54487; 54888; 55269; 55596; 55621; 55749; 22985; 55954; 23524; 57117; 57721; 26512; 27339; 6431; 64118; 64121	KARS; SRRM2; RPS14; METTL14; PSPC1; RPS25; ZMAT5; EXOSC2; CCAR1; PRPF4; INTS6; EXOSC10; DGCR8; DUS1L; SRSF6; RBM8A; SRSF3; PRPF19; KHSRP; EFTUD2; ZCCHC8; HNRNPL; HNRNPM; SAP18; TRMT1; DYRK1A; HNRNPC; LUC7L3; PABPN1; CDKN2A; NSRP1; RRAGC; INTS12; ACIN1; SAFB; RPS29; RPL14; BRDT; RPL10; MTPAP; SRPK1; BICD1; TARDBP; RIOK3; PSIP1; NSUN2; ADARB2; FAM103A1; DDX1; PPIG; WDR77; WBP4	896	892
5.38056588489e-07	6.41363453479e-05	GO:0006412	b	5	translation	1468; 1653; 1725; 1965; 1974; 1982; 3735; 55278; 4076; 4141; 5464; 5594; 6134; 6195; 6199; 6208; 6230; 6235; 7175; 7458; 8565; 8661; 8891; 9045; 9255; 9343; 9481; 9939; 10128; 51204; 79731; 54998; 55005; 55173; 56478; 57721; 27068; 64215; 219402; 163255; 64975; 65018	KARS; LRPPRC; RPS14; MRPS10; EIF2B3; AIMP1; RPS25; MTIF3; PPA2; PPA1; CAPRIN1; PINK1; EIF2S1; SLC25A10; QRSL1; RBM8A; AURKAIP1; EIF3A; RPS6KB2; EFTUD2; YARS; EIF4ENIF1; METTL14; ZNF540; DHPS; NARS2; RPS29; RPL14; RPL10; TPR; SLC25A27; RMND1; RPS6KA1; EIF4G2; TACO1; DNAJC1; MRPL41; DDX1; MARS; MAPK1; EIF4A2; EIF4H	657	652
8.80223875618e-07	8.74355716447e-05	GO:0043604	b	5	amide biosynthetic process	1468; 1653; 1725; 1965; 1974; 1982; 2618; 2729; 3735; 55278; 4076; 4141; 5464; 5594; 6134; 6195; 6199; 6208; 6230; 6235; 7175; 7458; 8565; 8661; 8891; 9045; 9255; 9343; 9481; 9939; 10128; 10558; 51204; 79017; 79731; 54998; 55005; 55173; 56478; 57721; 27068; 64215; 219402; 163255; 64975; 65018	KARS; LRPPRC; RPS14; MRPS10; EIF2B3; AIMP1; RPS25; MTIF3; PPA2; PPA1; CAPRIN1; PINK1; EIF2S1; SLC25A10; QRSL1; YARS; AURKAIP1; EIF3A; GCLC; RPS6KB2; EFTUD2; MAPK1; SPTLC1; EIF4ENIF1; RMND1; METTL14; ZNF540; DHPS; NARS2; RPS29; RPL14; RPL10; TPR; GART; GGCT; SLC25A27; RBM8A; RPS6KA1; EIF4G2; TACO1; DNAJC1; MRPL41; DDX1; MARS; EIF4A2; EIF4H	765	760
7.79675751362e-06	0.000405431390708	GO:0016604	c	5	nuclear body	1029; 1653; 1859; 4193; 4670; 6428; 9128; 9343; 9360; 23435; 9939; 10284; 10626; 11193; 11315; 11325; 51747; 84081; 55269; 22985; 23468; 23524; 57459; 56478; 27339; 6431	SRRM2; TRIM16; PSPC1; CBX5; PRPF4; SRSF6; RBM8A; SRSF3; PRPF19; PARK7; EFTUD2; HNRNPM; SAP18; EIF4ENIF1; DYRK1A; LUC7L3; CDKN2A; NSRP1; ACIN1; GATAD2B; MDM2; TARDBP; DDX42; DDX1; PPIG; WBP4	353	352
1.22221382364e-05	0.000990265869753	GO:0043632	b	5	modification-dependent macromolecule catabolic process	1029; 1855; 55031; 2729; 3077; 4193; 5394; 5516; 5694; 5704; 5709; 5887; 6477; 9100; 9655; 10956; 11315; 79791; 23404; 440730; 148066; 117584; 55139; 51009; 84132; 84196; 84447; 84749; 54476; 57003; 90637; 29843; 29945; 29978; 65018	RAD23B; CCDC47; PSMD3; PINK1; EXOSC2; HFE; EXOSC10; USP48; UBQLN2; USP47; GCLC; USP42; SYVN1; DERL2; DVL1; PSMC4; ZFAND2A; OS9; CDKN2A; SIAH1; RFFL; SENP1; USP10; USP30; MDM2; ANAPC4; TRIM67; SOCS5; ZNRF4; ANKZF1; PPP2CB; FBXO31; PSMB6; RNF216; PARK7	568	567
1.32921593255e-05	0.000990265869753	GO:0010556	b	5	regulation of macromolecule biosynthetic process	160; 374; 472; 672; 676; 1029; 1407; 1653; 1827; 1855; 1965; 1974; 1982; 2019; 2314; 2323; 2494; 55031; 2553; 2626; 2729; 3006; 3066; 3077; 3148; 3183; 3551; 4009; 4076; 4193; 4233; 4302; 4602; 4605; 4792; 5074; 5204; 5205; 5216; 5594; 5704; 5885; 5934; 5993; 6195; 6199; 6208; 6294; 6492; 6595; 6877; 7029; 121340; 7175; 137735; 7458; 7542; 7551; 7566; 7579; 7707; 7748; 7756; 23186; 8323; 8570; 8661; 8737; 8863; 8877; 8880; 8891; 9039; 9321; 9447; 23435; 9734; 9745; 9826; 9939; 10009; 10113; 10128; 10284; 10507; 10576; 10626; 10694; 10765; 10771; 10808; 11168; 11315; 51204; 79084; 79190; 80110; 80312; 80345; 146050; 81606; 81620; 2833; 8335; 221336; 51360; 51780; 3203; 150572; 221937; 54487; 134728; 80119; 54790; 54993; 55005; 55206; 55269; 55749; 22992; 55769; 23085; 23189; 23421; 23468; 56341; 56751; 56980; 253639; 25909; 140612; 57336; 57459; 57510; 57592; 57684; 56478; 57721; 221786; 81566; 91074; 353274; 26205; 124790; 26586; 27000; 27250; 29843; 128408; 64215; 64428; 163255; 55629; 65018; 54583	BHLHE23; LRPPRC; TRIM16; ARHGEF11; PSPC1; TACO1; CRY1; IKBKB; CAPRIN1; SEMA4D; GATA4; DGCR8; ZNF148; PARK7; AHCTF1; RCAN1; FLII; ZSCAN29; SAP18; BRDT; LBH; HIST1H1C; ZSCAN20; METTL14; BRCA1; ZNF207; PRMT8; CDKN2A; SAFB; ZNF687; SP7; PER3; TPR; MDM2; ZNF445; MBTPS2; BARHL1; EIF4G2; ATP8B1; DDX1; RFX5; ZBTB26; KDM5B; ZSCAN16; ZNF195; FOXK1; FUBP1; PINK1; CCAR1; FAM200A; ZSCAN2; CCT8; XPO5; HSPH1; HOXA6; CCT2; USP47; KHSRP; CSRNP2; EN1; NR5A2; ZNF287; ZBTB33; ZFP28; LMX1A; SENP1; EIF4H; HEXIM2; PNRC2; RPS6KA1; TAF5; PSIP1; ZNF614; PRDM10; DNAJC1; DNAJC2; PFN1; EIF3A; KDM3B; TFDP2; UBA3; HDAC2; HDAC9; ZNF620; ATM; EIF2B3; RCOR1; CBX5; HFE; AREG; ZNF536; RBM8A; FZD6; CDT1; RPS6KB2; MAPK1; ERC1; PDCD4; HNRNPC; BEND6; GABPB1; PFDN5; RBL2; TET1; TET2; EGLN1; AIM2; KDM2A; FLT3LG; GMEB2; PAWR; TARDBP; MYB; PREB; MET; GATAD2B; SPHK1; RPS14; HMGB2; RIPK1; IRAK1BP1; ITGB3BP; ZNF18; ZMYND11; SMARCA2; MYBL2; EIF2S1; HIST1H2AB; SIM1; ZNF3; MLLT6; GCLC; CXCR3; ZNF83; DVL1; NARFL; EIF4ENIF1; PSMC4; NFKBIA; RAD21; ZFPL1; SMYD1; ANKRD30A; AP2A1; TRIP11; RMND1; SBNO1; IRX6; PIF1; ZNF540; ABRA; KANK1; CKAP2; EIF4A2; WDR77	4071	4059
