p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.37614548498e-08	1.72183419734e-06	GO:0048770	c	5	pigment granule	821; 2923; 3309; 3326; 5861; 5862; 5868; 5878; 6509; 7184; 8836; 9601; 10961; 10972; 3688; 80331	ITGB1; RAB5A; RAB5C; HSPA5; RAB1A; ERP29; PDIA4; PDIA3; HSP90B1; HSP90AB1; RAB2A; DNAJC5; SLC1A4; GGH; CANX; TMED10	103	103
1.08054164348e-07	7.36929400856e-05	GO:0006464	b	5	cellular protein modification process	175; 414; 805; 349667; 1031; 132158; 1147; 1270; 1326; 1392; 1408; 140803; 1464; 1499; 1650; 1856; 1889; 2041; 2048; 2081; 2100; 2134; 2264; 2287; 2323; 2776; 3077; 3093; 3190; 3309; 3326; 3357; 3456; 3609; 3984; 135152; 4191; 4193; 4233; 4486; 4780; 4831; 5290; 5335; 5345; 5481; 5510; 5516; 5538; 5585; 5593; 5594; 5597; 5600; 5682; 5686; 5689; 5701; 5707; 5924; 6185; 6198; 6385; 6482; 6647; 6698; 6711; 6720; 6868; 7174; 7184; 7248; 8202; 8312; 8573; 8737; 8780; 8795; 8844; 9039; 9241; 9451; 9530; 9636; 9968; 10111; 10243; 10253; 10284; 10549; 10550; 10617; 10626; 338596; 10961; 11059; 11160; 11331; 7422; 143279; 55620; 3688; 149603; 56886; 79796; 51530; 79845; 80012; 80279; 4869; 84572; 8165; 246330; 148066; 115426; 117584; 148581; 51135; 84749; 85440; 151112; 151194; 151871; 54209; 284076; 54704; 55589; 22863; 22992; 23043; 55905; 23192; 23304; 80344; 23398; 23400; 23408; 23556; 23603; 56913; 25782; 57565; 25897; 27068; 27148; 27232; 28992; 29071; 4893; 29775; 29951; 5033; 54495; 64422; 27330; 130507; 54583	HECTD2; RPN2; HSPA5; TRIM16; AGA; UBR3; P4HA1; FKBP3; B3GAT2; FGFR4; MAP3K8; CALM2; NFE2L2; WWP1; C1GALT1; HSP90AB1; STAP2; RNF114; SAP18; KDM2A; RNF19A; IRAK4; CDKN2C; SOD1; EXTL1; RFFL; PRKG2; MACROD1; USP30; UBR2; MDM2; AKAP1; CSPG4; NME2; SPRY2; RNF187; PPP2CB; MST1R; MAPK1; PPA2; ALG9; PPWD1; DOCK7; HSP90B1; DPPA2; SPRR1A; CRH; ISG15; HTR2B; KSR1; TRPM6; EPHB2; RAB3GAP2; SIRT5; ERP29; CHUK; PDP1; VEGFA; UBA3; GPHN; ZNRF4; UBE2K; ESR2; GNAQ; ERLIN2; ST8SIA6; NOG; SDC4; STK36; PPT1; ATG14; UBE2U; RNF122; RTN4RL2; TMX3; BAG4; STAMBP; EPHA1; TNFRSF10B; TNIK; MAPK11; TREM2; HFE; TSC1; NCOA3; PELI3; RPS6KB1; BMP2K; CASK; IFNB1; HNRNPK; MAPK6; PSMA5; ERN1; UGGT1; PRDX4; KLHL14; PHC3; ARL6IP5; EGLN1; FLT3LG; SERPINF2; PDZRN4; ZSWIM2; UHRF2; RIPK1; PPP1R7; RPS6KA6; RASGRF2; EIF2AK3; C1GALT1C1; DCAF11; MET; SREBF1; RAD50; CDK5RAP3; PPID; PSMB1; PSMA1; GNMT; PHB2; GLYCTK; LIMK1; PSMD1; CTNNB1; CORO1C; PLCG1; DDOST; MDH2; ECE1; ADAM17; SPTBN1; AXIN1; ZC3HC1; ATP13A2; NRAS; CRY2; DVL2; ATG3; MED12; PSMC2; ITGB1; CNTF; ST3GAL1; TTLL6; GNPTG; PKN1; TPP2; CARD10; PIGN; ATG4B; PIK3CA; METTL21A; NPM1; ARSD; RIOK3; ILF3	3772	3761
8.3227525185e-07	0.000283805860881	GO:0051246	b	5	regulation of protein metabolic process	23787; 629; 730; 805; 841; 349667; 1031; 1270; 1326; 1392; 1408; 1464; 1499; 1856; 1889; 1982; 2041; 2081; 2100; 2264; 2319; 2323; 2692; 2776; 3077; 3093; 3190; 3309; 3326; 3329; 3357; 3416; 3456; 3609; 3699; 3984; 4076; 4116; 4193; 4486; 4780; 5290; 5335; 5345; 5510; 5585; 5594; 5600; 5682; 5686; 5689; 5701; 5707; 431705; 6198; 6385; 6647; 6720; 6868; 7184; 7248; 8312; 8737; 8795; 8844; 8891; 9241; 9447; 9451; 9530; 9636; 10005; 10018; 10111; 10134; 10148; 10253; 10550; 10961; 10972; 11331; 51079; 7422; 51204; 55620; 3688; 80279; 4869; 8165; 117584; 83596; 51024; 85440; 118672; 151871; 54209; 22863; 23043; 55905; 23192; 23400; 23603; 56478; 25782; 25825; 25897; 26005; 257364; 29775; 27330	HSPA5; TACO1; CAPRIN1; MDM2; TMED10; MAP3K8; CALM2; NFE2L2; HSP90AB1; STAP2; RNF114; NDUFA13; EIF4ENIF1; RNF19A; MAGOH; C2CD3; CDKN2C; SOD1; RFFL; ACOT8; FGFR4; AKAP1; CSPG4; MTCH1; SPRY2; EIF4G2; MST1R; PSTK; MAPK1; GHRHR; DOCK7; HSP90B1; DPPA2; CRH; FIS1; ISG15; HTR2B; KSR1; SNX33; RAB3GAP2; ERP29; PPP1R7; VEGFA; ASTL; UBE2K; ESR2; GNAQ; RPS6KA6; NOG; SDC4; FLOT2; PIK3CA; ATG14; RTN4RL2; BAG4; EIF2B3; EPHA1; TNFRSF10B; TNIK; MAPK11; TREM2; ITIH3; IDE; HFE; TSC1; RPS6KB1; IFNB1; HNRNPK; PSMA5; C7; ERN1; ARL6IP5; AIM2; FLT3LG; SERPINF2; BCAP31; RIPK1; EIF2AK3; SREBF1; RAD50; CDK5RAP3; EBI3; PSMB1; PSMA1; PHB2; LIMK1; PSMD1; CTNNB1; CORO1C; PLCG1; ECE1; ADAM17; BCL2L11; AXIN1; BCL2L12; ATP13A2; CRY2; DVL2; HSPD1; PSMC2; ITGB1; CNTF; PKN1; CARD10; ATG4B; NPM1; BACE2; CFB; CASP8; ILF3	2476	2470
4.12856382609e-06	0.000212051329237	GO:0032550	m	5	purine ribonucleoside binding	31; 10973; 490; 498; 132158; 1147; 1326; 140803; 1763; 2041; 2048; 2081; 2181; 2264; 2645; 2776; 3093; 3309; 3313; 3326; 3329; 3416; 3798; 3832; 3984; 4233; 4486; 4522; 4599; 4831; 201625; 5244; 5286; 5290; 5585; 5593; 5594; 5597; 5600; 5701; 5861; 5862; 5868; 5878; 6059; 6198; 6890; 7184; 7283; 8573; 8737; 8780; 8844; 9039; 9451; 9493; 9967; 10111; 10243; 10576; 10588; 10606; 51079; 79363; 79731; 80222; 80308; 148581; 51135; 51715; 118672; 283446; 284076; 80119; 55288; 55341; 22800; 55589; 23043; 23400; 23461; 27148; 4893; 64147; 27330	TAP1; RPS6KA6; HSPA5; MYO1H; MST1R; HSPA9; LIMK1; RSG1; EPHA1; MX1; RIPK1; RAB2A; TNIK; TTLL6; NDUFA13; KIF11; RAB5A; IDE; FLAD1; PSMC2; MAP3K8; DNA2; THRAP3; DNAH12; NARS2; PAICS; CCT2; PIK3CA; ATP5A1; ATP13A2; RPS6KB1; BMP2K; CASK; HSP90AB1; HSPD1; MAPK1; MAPK6; ABCA5; ABCB4; KSR1; TRPM6; ERN1; EPHB2; TARS2; ACACA; STK36; RAB5C; KIF9; PKN1; MTHFS; GCK; PRKG2; CHUK; RAB1A; PSTK; PIK3C2A; RAD50; HSP90B1; ATP2B1; FGFR4; NME2; GPHN; RIOK3; UBE2K; RAB23; RHOT1; GNAQ; MTHFD1; ACSL3; EIF2AK3; GLYCTK; KIF23; TUBG1; MET; PIF1; LSG1; RRAS2; IRAK4; UBA3; KIF5A; ASCC3; ABCE1; UBE2U; NRAS; MAPK11	1845	1833
4.5117304093e-06	0.000212051329237	GO:0030554	m	5	adenyl nucleotide binding	31; 10973; 490; 498; 132158; 1147; 1326; 140803; 1763; 2041; 2048; 2081; 2181; 2264; 2645; 3093; 3309; 3313; 3326; 3329; 3416; 3798; 3832; 3984; 4233; 4486; 4522; 4831; 201625; 5244; 5286; 5290; 5585; 5593; 5594; 5597; 5600; 5701; 6059; 6198; 6890; 7184; 8573; 8737; 8780; 8844; 9039; 9451; 9493; 9530; 9967; 10111; 10243; 10576; 10588; 10606; 11069; 51079; 79731; 80222; 80308; 148581; 51135; 118672; 283446; 284076; 80119; 55589; 23043; 23400; 23461; 27148; 64147; 27330	TAP1; RPS6KA6; ATP13A2; HSPA5; RAPGEF4; MST1R; HSPA9; LIMK1; EPHA1; RIPK1; TNIK; TTLL6; BAG4; KIF11; IDE; FLAD1; NDUFA13; MAP3K8; DNA2; DNAH12; NARS2; PAICS; CCT2; PIK3CA; ATP5A1; MYO1H; RPS6KB1; BMP2K; CASK; HSP90AB1; HSPD1; MAPK1; MAPK6; ABCB4; KSR1; TRPM6; ERN1; EPHB2; TARS2; ACACA; STK36; THRAP3; KIF9; PKN1; MTHFS; GCK; PRKG2; CHUK; PSTK; PIK3C2A; RAD50; HSP90B1; ATP2B1; FGFR4; PSMC2; GPHN; RIOK3; UBE2K; NME2; MTHFD1; ACSL3; EIF2AK3; GLYCTK; KIF23; MET; PIF1; ABCA5; IRAK4; UBA3; KIF5A; ASCC3; ABCE1; UBE2U; MAPK11	1538	1531
7.51907801617e-06	0.000946157962518	GO:0006915	b	5	apoptotic process	23787; 841; 1270; 1326; 1392; 1499; 1630; 1889; 2081; 2100; 2323; 2923; 3005; 3093; 3148; 3190; 3309; 3313; 3326; 3329; 3357; 3456; 3549; 3875; 4000; 4168; 4193; 4599; 4780; 4831; 5077; 5290; 5481; 5516; 5538; 5585; 5594; 5924; 6198; 6647; 6648; 6868; 7184; 8312; 8737; 8795; 9241; 9447; 9451; 9530; 10018; 10134; 10253; 10284; 10550; 10617; 10961; 11331; 51079; 7422; 3688; 79017; 79728; 51530; 80279; 80331; 4869; 246330; 117584; 83596; 51024; 51107; 51246; 151112; 55074; 55288; 55749; 23365; 23408; 92140; 4691; 29775; 64422	NOG; HSPA5; MCF2; HMGB2; HSPA9; STAMBP; HSP90B1; MX1; CTNNB1; TNFRSF10B; OXR1; RHOT1; ECE1; ADAM17; CCAR1; CRH; MTDH; MDM2; ZSWIM2; MAP3K8; BCL2L11; BAG4; AXIN1; BCL2L12; VEGFA; NFE2L2; ZC3HC1; RPS6KB1; DCC; IFNB1; HSP90AB1; HSPD1; HNRNPK; RASGRF2; SAP18; HTR2B; PELI3; RFFL; ERN1; ITGB1; CNTF; ARHGEF12; H1F0; SOD2; PPT1; SIRT5; SOD1; PKN1; ERP29; ARL6IP5; NDUFA13; PDIA3; APH1A; AIM2; PHB2; FLT3LG; PAX3; CDK5RAP3; LMNA; GGCT; NPM1; ATG3; BCAP31; RIPK1; UBE2K; ESR2; NME2; MTCH1; SPRY2; DNAJC5; EIF2AK3; PPP2CB; CASP8; SHISA5; IHH; FIS1; NCL; PIK3CA; MAPK1; PPID; PALB2; CARD10; KRT18	1817	1805
8.68419736966e-06	0.000946157962518	GO:0060548	b	5	negative regulation of cell death	841; 1270; 1392; 1499; 2100; 2323; 3148; 3190; 3309; 3313; 3326; 3329; 3357; 3549; 3875; 4000; 4193; 4233; 4780; 4831; 5290; 5538; 6198; 6647; 6648; 7184; 8737; 8795; 9241; 9530; 10253; 10617; 11331; 51079; 7422; 3688; 79728; 51530; 80331; 4869; 246330; 117584; 83596; 55074; 23400; 23408; 92140; 4691; 6431	HSPA5; PHB2; HMGB2; HSPA9; STAMBP; HSP90B1; CTNNB1; TNFRSF10B; OXR1; CRH; MTDH; LMNA; SRSF6; BAG4; PELI3; BCL2L12; PPT1; ZC3HC1; ATP13A2; RPS6KB1; HSP90AB1; HSPD1; HNRNPK; HTR2B; ITGB1; CNTF; SOD2; SIRT5; SOD1; RFFL; NDUFA13; FLT3LG; PIK3CA; MDM2; NPM1; RIPK1; ESR2; NME2; SPRY2; DNAJC5; PALB2; NOG; CASP8; MET; IHH; NCL; NFE2L2; VEGFA; KRT18	895	893
9.84230777323e-06	0.000946157962518	GO:0010604	b	5	positive regulation of macromolecule metabolic process	328; 23787; 676; 805; 841; 1147; 1270; 1326; 1392; 1464; 1499; 1763; 1856; 1889; 2081; 2100; 2264; 2323; 2626; 2645; 3021; 3077; 3093; 3148; 3190; 3309; 3326; 3329; 3357; 3456; 3549; 3609; 4000; 4193; 4233; 4486; 4605; 4780; 4831; 5077; 5290; 5335; 5345; 5510; 5585; 5594; 5600; 5682; 5686; 5689; 5701; 5707; 431705; 5861; 6198; 6385; 6625; 6647; 6720; 6868; 7029; 7913; 8202; 8312; 8350; 8357; 8573; 8721; 8737; 8795; 8844; 9241; 9447; 9451; 9530; 9967; 9968; 10018; 10111; 10134; 10148; 10253; 10463; 10550; 10576; 10626; 10959; 10961; 11160; 11331; 51079; 7422; 55620; 3688; 149603; 80279; 4869; 81606; 83596; 51024; 51141; 51360; 85440; 54209; 22863; 23043; 55905; 23192; 25782; 25897; 60491; 257364; 4691; 126626; 29775; 65251	HSPA5; TRIM16; SLC30A9; GATA4; APEX1; MAP3K8; CALM2; NFE2L2; HSP90AB1; STAP2; RNF114; NDUFA13; BRDT; LBH; SOD1; FGFR4; RNF19A; MBTPS2; MTCH1; NME2; SPRY2; RNF187; MST1R; IHH; MAPK1; ITGB1; DOCK7; DEK; CRH; CCT2; FIS1; H3F3B; HTR2B; KSR1; SNX33; RAB3GAP2; ERP29; GCK; CHUK; VEGFA; PAX3; ASTL; UBE2K; ESR2; ERLIN2; NOG; SDC4; CSPG4; PIK3CA; INSIG2; TFDP2; BAG4; TNFRSF10B; TNIK; MAPK11; TREM2; HFE; LMNA; NCOA3; TMED2; RPS6KB1; CASK; IFNB1; HNRNPK; PSMA5; SNRNP70; ERN1; GABPB2; ATG14; THRAP3; RAB1A; ARL6IP5; AIM2; FLT3LG; SERPINF2; BCAP31; RIPK1; PPP1R7; EIF2AK3; MET; SREBF1; MDM2; RAD50; CDK5RAP3; EBI3; PSMB1; PSMA1; PHB2; HMGB2; PSMD1; CTNNB1; PLCG1; ECE1; ADAM17; MYBL2; DNA2; BCL2L11; AXIN1; BCL2L12; DVL2; HSPD1; MED12; ZNF649; PSMC2; EDF1; CNTF; PKN1; CARD10; ATG4B; HIST1H3A; NIF3L1; HIST1H3H; NPM1; CASP8; NCL; ILF3	2795	2783
1.09590340862e-05	0.000946157962518	GO:0044257	b	5	cellular protein catabolic process	841; 1499; 3077; 3093; 3309; 3326; 3416; 4193; 4780; 5516; 5538; 5682; 5686; 5689; 5701; 5707; 137492; 7184; 8312; 8737; 9636; 10134; 11059; 11160; 143279; 149603; 79845; 80279; 148066; 115426; 117584; 148581; 84749; 55905; 23190; 23304; 23400; 25897; 130507	HECTD2; HSPA5; WWP1; PSMD1; HSP90B1; RIPK1; UBR3; IDE; HFE; AXIN1; NFE2L2; ATP13A2; VPS37A; HSP90AB1; RNF114; PSMA1; ISG15; PSMA5; UBXN4; PSMC2; ZNRF4; RFFL; USP30; UBR2; MDM2; UHRF2; RNF19A; BCAP31; CTNNB1; UBE2K; ERLIN2; RNF187; PPP2CB; CASP8; PPT1; CDK5RAP3; UBE2U; RNF122; PSMB1	653	652
1.100584152e-05	0.000946157962518	GO:0048193	b	5	Golgi vesicle transport	1314; 2181; 2803; 3798; 3832; 3875; 3996; 5861; 5862; 6711; 9493; 9905; 9950; 10133; 10134; 10564; 10618; 10652; 10959; 10972; 81562; 23230; 57120; 57222; 261729	ERGIC1; RAB2A; KIF11; SPTBN1; TMED10; OPTN; TMED2; TGOLN2; GOLGA4; GOLGA5; VPS13A; COPA; RAB1A; YKT6; SGSM2; ARFGEF2; GOPC; BCAP31; LLGL1; ACSL3; LMAN2L; KIF23; KIF5A; STEAP2; KRT18	333	333
