p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.40380688518e-07	0.00109554350212	Gene Expression	Reactome	R-HSA-74160	KARS; RPN2; ATM; EIF2B3; CYCS; EIF4E; HSPA1A; DDOST; ZMAT5; TNRC6B; TNRC6A; ANP32A; CBX3; SMARCA5; HIST1H2AB; EIF3H; SRSF6; SRSF1; SRSF3; ZNF454; HIST2H4B; RPS6; RARS; PRPF40A; EIF3G; HSPD1; MED12; HNRNPM; HBS1L; MAGOH; PPA2; PCNA; DCPS; CDC5L; DNMT3A; PRKAB1; CHTOP; RXRB; HIST1H3B; TGS1; RPL10; CSNK2B; BRF2; SMAD7; SNRPA; NPM1; GARS; ZNF445; DDX21; HNRNPC; ESR2; TAF1; ZNF443; PPP2CA; APOBEC3A; PQBP1; PRPF4; YWHAG; NUP153; RPL23; MTA2; TARS2; MARS; GATAD2B; ZNF500; ACTB; YBX1; ZNF135; EEF2; EIF4A2	8467; 7694; 200315; 6431; 1650; 26048; 1938; 1977; 1974; 8667; 472; 7532; 8335; 55290; 10224; 2100; 988; 26097; 28960; 4116; 8666; 9968; 6185; 2617; 8125; 9188; 55954; 10084; 5564; 4670; 1460; 6134; 23112; 54205; 11335; 57459; 4141; 27068; 55660; 27327; 1788; 6194; 3303; 9219; 5111; 6872; 9349; 6626; 10767; 353274; 6426; 9972; 4092; 3735; 4869; 554313; 96764; 8358; 5515; 60; 6428; 3329; 8891; 5917; 285676; 3183; 4904; 80222; 6257; 9128	1755	1745
2.45823115912e-05	0.0143191965019	Brain-Derived Neurotrophic Factor (BDNF) signaling pathway	Wikipathways	WP2380	SHC1; PPP2CA; NSF; CTNNB1; RPS6; PLCG1; MAPK7; PIK3R1; ADAM17; EIF4E; APC; YBX1; EEF2	4905; 4904; 1499; 5515; 5598; 6194; 1938; 5335; 1977; 5295; 324; 6868; 6464	144	144
5.46063739301e-05	0.0212054752095	Spliceosome - Homo sapiens (human)	KEGG	path:hsa03040	CDC5L; SRSF6; SRSF1; SRSF3; SNRPA; PQBP1; PRPF40A; PRPF4; HSPA1A; HNRNPM; HNRNPC; MAGOH	4116; 4670; 3183; 55660; 3303; 6426; 6428; 6431; 10084; 9128; 988; 6626	134	134
0.000140017833363	0.025474911983	PDGFR-beta signaling pathway	PID	pdgfrbpathway	PDGFB; RAB5A; SHC1; PPP2CA; SLC9A3R1; SPHK1; PLCG1; PIK3R1; ABL1; YWHAG; YES1	6464; 7532; 5515; 5155; 7525; 5295; 5868; 5335; 25; 9368; 8877	126	126
0.000163796598906	0.025474911983	Signaling events mediated by VEGFR1 and VEGFR2	PID	vegfr1_2_pathway	HSP90AB1; AKAP1; ARF1; VCL; CTNNB1; PLCG1; FES; PIK3R1	5335; 1499; 375; 7414; 5295; 3326; 8165; 2242	69	69
0.000178293170237	0.025474911983	Processing of Capped Intron-Containing Pre-mRNA	Reactome	R-HSA-72203	CDC5L; SNRPA; SRSF1; SRSF3; CHTOP; PQBP1; PRPF40A; PRPF4; NUP153; SRSF6; ZMAT5; HNRNPM; EIF4E; HNRNPC; YBX1; MAGOH	6426; 9972; 3183; 4670; 4904; 4116; 6428; 55660; 988; 6626; 10084; 6431; 26097; 1977; 55954; 9128	248	248
0.000184843517212	0.025474911983	Signaling events mediated by PTP1B	PID	ptp1bpathway	PDGFB; SHC1; FER; PIK3R1; TYK2; YBX1; YES1	2241; 4904; 5155; 6464; 7525; 5295; 7297	53	53
0.000221067446614	0.025474911983	KitReceptor	NetPath	Pathway_KitReceptor	SHC1; EZR; RPS6; PLCG1; FES; PIK3R1; ABL1; YES1	6194; 5335; 25; 6464; 7430; 7525; 5295; 2242	72	72
0.000234093100999	0.025474911983	Legionellosis - Homo sapiens (human)	KEGG	path:hsa05134	HSF1; RAB1A; ARF1; CYCS; HSPD1; HSPA1A; HBS1L	3329; 10767; 54205; 375; 3297; 5861; 3303	55	55
0.000234093100999	0.025474911983	Pathogenic Escherichia coli infection - Homo sapiens (human)	KEGG	path:hsa05130	ITGB1; EZR; CTNNB1; NCL; ABL1; ACTB; KRT18	3875; 7430; 25; 1499; 60; 4691; 3688	55	55
0.000242793951384	0.025474911983	Cellular responses to stress	Reactome	R-HSA-2262752	HSF1; EPAS1; BAG4; LMNB1; HIST1H3B; HSPA5; HIRA; HSPA4; PRKAB1; ATM; CYCS; NUP153; HSPA1A; HSPH1; MAPK7; TNRC6A; HSP90AB1; HIST1H2AB; HIST2H4B; ANAPC7; TNRC6B	9972; 554313; 2034; 472; 3326; 51434; 3308; 27327; 7290; 5598; 4001; 8358; 3303; 5564; 3297; 23112; 3309; 54205; 8335; 10808; 9530	393	391
0.000262402526863	0.025474911983	Pathogenic Escherichia coli infection	Wikipathways	WP2272	ITGB1; EZR; CTNNB1; NCL; ABL1; ACTB; KRT18	60; 4691; 7430; 25; 3875; 1499; 3688	56	56
0.000391789337392	0.0348936456641	Protein processing in endoplasmic reticulum - Homo sapiens (human)	KEGG	path:hsa04141	RPN2; HSPH1; HSPA5; PDIA3; HSP90B1; HSP90AB1; HSPA1A; DDOST; UBQLN4; RRBP1; MAN1A1; UGGT1	7184; 4121; 6185; 56886; 10808; 6238; 1650; 3309; 3326; 2923; 56893; 3303	166	165
0.000449576437341	0.0348936456641	Cellular response to heat stress	Reactome	R-HSA-3371556	HSF1; HSP90AB1; BAG4; HSPH1; HSPA5; HSPA4; ATM; NUP153; HSPA1A	9972; 472; 3309; 3326; 3303; 3308; 10808; 9530; 3297	100	100
0.000475139619847	0.0348936456641	mRNA Splicing	Reactome	R-HSA-72172	CDC5L; SNRPA; SRSF1; SRSF3; PQBP1; PRPF40A; PRPF4; SRSF6; ZMAT5; HNRNPM; HNRNPC; YBX1; MAGOH	6426; 3183; 4670; 4904; 4116; 6428; 55660; 988; 6626; 6431; 10084; 55954; 9128	193	193
0.000498063810551	0.0348936456641	Regulation of HSF1-mediated heat shock response	Reactome	R-HSA-3371453	HSF1; BAG4; HSPA5; HSPA4; ATM; NUP153; HSPA1A; HSPH1	3308; 3303; 9972; 9530; 3297; 3309; 10808; 472	81	81
0.000509177662051	0.0348936456641	tRNA Aminoacylation	Reactome	R-HSA-379724	KARS; TARS2; RARS; PPA2; MARS; GARS	4141; 2617; 80222; 3735; 5917; 27068	45	45
