p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.96987635529e-06	0.00209524776866	The oncogenic action of Succinate	SMPDB	SMP02292	OGDH; TET1; EGLN1; PC; MDH2; KDM2A; FH; SLC25A10	4967; 2271; 5091; 4191; 80312; 22992; 1468; 54583	31	31
2.96987635529e-06	0.00209524776866	The oncogenic action of Fumarate	SMPDB	SMP02295	OGDH; TET1; EGLN1; PC; MDH2; KDM2A; FH; SLC25A10	4967; 5091; 54583; 4191; 80312; 22992; 2271; 1468	31	31
5.40717623067e-05	0.0254317522049	Gene Expression	Reactome	R-HSA-74160	KARS; PPP2R1B; PPP2CB; LRPPRC; COX5B; RPS14; ATM; EIF2B3; AIMP1; CDKN2A; ZMAT5; PPA2; PPA1; YARS; EXOSC2; CCAR1; MYBL2; EIF2S1; PRPF4; HIST1H2AB; INTS12; SRSF6; XPO5; ZNF3; SRSF3; PRPF19; EIF3A; KHSRP; ZNF620; NSUN2; EFTUD2; SSR3; HNRNPL; HNRNPM; SAP18; TRMT1; HDAC2; ZNF287; HNRNPC; RRAGC; NR5A2; BRCA1; ZFP28; PABPN1; RPS25; DDX42; INTS6; RBL2; DGCR8; TET1; NARS2; RFFL; TET2; RPS29; RPL14; EIF4H; RPL10; TPR; TP53BP2; WDR77; MDM2; RBM8A; CASP6; ZNF445; TAF5; ZNF195; ZNF614; SRRM2; TACO1; CSNK2B; ZNF540; METTL14; DDOST; DDX1; MARS; GATAD2B; ZNF18; WBP4; TFDP2; KDM5B; EIF4A2	4193; 6431; 7551; 1653; 9255; 1650; 57117; 23524; 26512; 7029; 5516; 57510; 1029; 1974; 6230; 472; 7175; 8335; 672; 5519; 5934; 6747; 839; 79731; 253639; 55954; 9343; 8570; 23404; 10284; 4605; 54888; 4670; 1460; 6134; 7458; 10765; 8661; 6235; 57459; 4141; 80110; 55749; 8565; 27068; 11325; 79084; 5464; 64121; 80312; 27339; 7748; 7566; 8106; 117584; 9045; 353274; 3735; 3191; 6208; 11193; 57336; 2494; 10128; 9939; 6428; 1965; 54790; 8891; 7159; 51204; 3183; 57721; 1329; 6877; 163255; 54487; 55621; 9128; 140612; 3066	1755	1745
0.000133075355968	0.038623195429	The oncogenic action of 2-hydroxyglutarate	SMPDB	SMP02291	OGDH; TET1; PC; MDH2; KDM2A; FH	4967; 2271; 5091; 4191; 80312; 22992	27	27
0.000136864618813	0.038623195429	E2F transcription factor network	PID	e2f_pathway	BRCA1; CDKN2C; CDKN2A; RBL2; CDC25A; ATM; SMARCA2; CBX5; MYBL2; TFDP2	7029; 5934; 4605; 672; 1031; 1029; 993; 23468; 472; 6595	79	79
0.000185635569818	0.040881381814	Apoptotic execution  phase	Reactome	R-HSA-75153	CASP6; FNTA; HMGB2; ACIN1; DFFA; PLEC; DNM1L; HIST1H1C	1676; 5339; 3006; 2339; 22985; 839; 3148; 10059	53	53
0.000202813375406	0.040881381814	The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria	SMPDB	SMP02358	OGDH; TET1; PC; MDH2; KDM2A; FH	4967; 2271; 5091; 4191; 80312; 22992	29	29
0.000247065866583	0.0435762422186	The oncogenic action of D-2-hydroxyglutarate in  Hydroxygluaricaciduria 	SMPDB	SMP02359	OGDH; TET1; PC; MDH2; KDM2A; FH	4967; 2271; 5091; 4191; 80312; 22992	30	30
0.00029541175867	0.0463139990536	Metabolism of proteins	Reactome	R-HSA-392499	OS9; SPHK1; RAD23B; GMDS; FOXK1; RPS14; TMED10; NFKBIA; EIF2B3; PSMD3; DOHH; RIPK1; RAB2A; RPS25; ARFGAP2; RHOT1; CNTN5; KCNA6; PSMC4; EIF2S1; HIST1H2AB; USP10; AREG; GFER; LYPD2; HNRNPC; PMPCA; CALM1; CCT2; EIF3A; ATP5A1; RAD21; RGS6; USP42; SYVN1; DERL2; SSR3; B4GALT1; RAB12; DPM3; BRCA1; CDKN2A; PFDN5; SIAH1; RAB5B; GNB4; CDC25A; CCT8; SENP1; RPS29; RPL14; EIF4H; RPL10; TPR; USP30; MDM2; GMPPB; RAB23; MBTPS2; TOP2B; USP47; PREB; TOMM20; DDOST; DHPS; PSMB6; ARF1; CSNK2B; EIF4A2	4193; 54344; 10113; 5694; 1650; 1460; 498; 5862; 84132; 5709; 2671; 23203; 53942; 84749; 1029; 1974; 6230; 7175; 8335; 672; 51009; 84364; 5887; 5869; 4792; 5204; 6747; 9628; 8877; 55031; 2683; 6134; 7458; 801; 10694; 8661; 51715; 6235; 59345; 7155; 83475; 8737; 29925; 201475; 221937; 10972; 51360; 55288; 1725; 9045; 9804; 3742; 993; 29843; 2762; 6208; 9100; 375; 6477; 5704; 84447; 137797; 10576; 1965; 10956; 8891; 3183; 5885; 374	1506	1502
0.00038794694368	0.0547393137532	tRNA Aminoacylation	Reactome	R-HSA-379724	KARS; NARS2; AIMP1; YARS; PPA2; PPA1; MARS	8565; 5464; 4141; 79731; 9255; 3735; 27068	45	45
