p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.65589300794e-06	0.00441940596522	ErbB1 downstream signaling	PID	erbb1_downstream_pathway	PEBP1; CALM2; RPS6; PPP5C; YWHAQ; NRAS; PRKCD; RAB5A; AKT1; MAP2K1; BRAF; BAIAP2; YWHAB; KSR1; YWHAG; CDC42	207; 805; 998; 7529; 5580; 7532; 5536; 8844; 10971; 5037; 5604; 673; 5868; 6194; 10458; 4893	107	106
5.66361761253e-06	0.00471212985362	mTOR signaling pathway	PID	mtor_4pathway	NRAS; YWHAQ; RPS6KB1; CYCS; AKT1; MAP2K1; BRAF; YWHAB; PDCD4; EIF4E; YWHAG; TSC1	207; 673; 7532; 6198; 7529; 10971; 4893; 27250; 1977; 54205; 5604; 7248	66	65
1.07806517697e-05	0.00597966818162	Signaling events mediated by VEGFR1 and VEGFR2	PID	vegfr1_2_pathway	CALM2; AKAP1; GRB10; PRKCD; MAP2K1; AKT1; PLCG1; MAPK11; FES; BRAF; CDH5; CDC42	805; 1003; 5335; 207; 998; 5600; 5580; 2887; 5604; 8165; 673; 2242	69	69
1.59323025803e-05	0.00659999392649	Negative regulation of MAPK pathway	Reactome	R-HSA-5675221	PEBP1; PPP5C; RPS27A; NRAS; MAP2K1; BRAF; YWHAB; KSR1; DUSP10	673; 8844; 5536; 5037; 4893; 7529; 11221; 6233; 5604	40	40
1.98317125195e-05	0.00659999392649	TP53 Regulates Metabolic Genes	Reactome	R-HSA-5628897	MT-CO1; MT-CO2; COX5A; YWHAQ; CYCS; TSC1; AKT1; COX4I1; TNRC6A; YWHAB; TXNRD1; YWHAG; LAMTOR3	7296; 207; 4513; 8649; 7529; 1327; 7532; 4512; 10971; 54205; 9377; 27327; 7248	86	85
2.52050050819e-05	0.00699018807604	Membrane Trafficking	Reactome	R-HSA-199991	TSG101; COPS3; SNX9; RPS27A; COPS5; AKT1; CLTB; IGF2R; BIN1; AP2B1; TMED10; TGFA; TGOLN2; CALM2; TPD52; YWHAQ; DVL2; GOLGA4; GOLGA5; RABEP1; YWHAB; TSC1; YWHAG; RAB7A; RAB1B; RAB5A; RAB5C; RAB5B; COG3; COG1; SYNJ2; CHM; GALNT1; NAA35; RAB12; SCARB2; ARCN1; PREB; ACBD3; GJB1; GOLGB1; AP1G1; KLC2	207; 7251; 10987; 10113; 5869; 1212; 9950; 5878; 81876; 950; 8871; 9135; 163; 9382; 10971; 7879; 164; 2803; 64837; 7163; 7248; 10972; 805; 2804; 201475; 60560; 1856; 1121; 7529; 10618; 2589; 5868; 8533; 3482; 274; 2705; 372; 6233; 83548; 7532; 64746; 51429; 7039	580	579
5.41644046404e-05	0.0115704887997	Tuberculosis - Homo sapiens (human)	KEGG	path:hsa05152	HSPD1; RAB7A; EP300; RAB5A; RAB5C; AKT1; HSPA9; RAB5B; ATP6AP1; ARHGEF12; CYCS; IFNB1; NFYB; LAMP2; LAMP1; KSR1; CALM2; MYD88; MAPK11	4615; 537; 4801; 7879; 207; 5868; 5869; 3313; 5878; 3329; 805; 23365; 3916; 3920; 3456; 8844; 54205; 5600; 2033	179	178
5.56273499984e-05	0.0115704887997	Vesicle-mediated transport	Reactome	R-HSA-5653656	TSG101; TMED10; COPS3; SNX9; RPS27A; HSP90B1; COPS5; AKT1; CLTB; IGF2R; BIN1; AP2B1; TSC1; TGFA; DVL2; CALM2; TPD52; YWHAQ; TGOLN2; GOLGA4; GOLGA5; RABEP1; YWHAB; RAB12; YWHAG; RAB7A; RAB1B; RAB5A; RAB5C; RAB5B; COG3; COG1; SYNJ2; CHM; GALNT1; NAA35; SCARB2; ARCN1; PREB; ACBD3; GJB1; GOLGB1; AP1G1; KLC2	207; 7251; 10987; 10113; 5869; 1212; 201475; 9950; 5878; 81876; 950; 8871; 9135; 163; 10618; 9382; 10971; 7184; 7879; 164; 2803; 64837; 7163; 7248; 10972; 7039; 805; 2804; 60560; 1856; 1121; 7529; 2589; 5868; 8533; 3482; 274; 2705; 372; 6233; 83548; 7532; 64746; 51429	619	618
0.000130379398646	0.0241057021497	Mitochondrial protein import	Reactome	R-HSA-1268020	GFER; ATP5A1; TIMM9; HSPD1; TOMM20; TIMM10; TOMM22; ATP5B; HSPA9; MTX2	2671; 56993; 26519; 26520; 498; 506; 9804; 10651; 3329; 3313	63	63
0.000170507351932	0.0283724233615	RAB geranylgeranylation	Reactome	R-HSA-8873719	RAB7A; RAB5A; RAB5C; RAB5B; RAB1B; CHM; RABGGTB; RAB2A; RAB3D; RAB12	81876; 5868; 5876; 201475; 9545; 1121; 5878; 5869; 7879; 5862	65	65
