p-value	q-value	complex_name	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000335860226552	0.0185025151087	48s Ribosome subunit	BioCarta	EIF4G2; EIF2S1; EIF3A; EIF4A2	1965; 1974; 1982; 8661	11	11
0.000828845146966	0.0185025151087	SHC1,GRB2,SOS1,IQGAP1,RACGAP1,VAV2,VAV3,AP2A1,AP2B1,AP2S1,CBLB,PTPN11,KRT7,KRT8,KRT17,KRT18,PLEC,EPPK1,CD59,HIST3H3,SNRPD2,MPRIP,SMU1	NetPath	KRT7; PLEC; GRB2; AP2A1; IQGAP1	160; 2885; 3855; 5339; 8826	23	23
0.00101863714604	0.0185025151087	Large Drosha complex	CORUM	DGCR8; TARDBP; SRPK1; DDX1; HNRNPM	1653; 4670; 6732; 23435; 54487	24	24
0.0011146093439	0.0185025151087	p14-ARF:MDM2	Reactome	MDM2; CDKN2A	1029; 4193	2	2
0.0011146093439	0.0185025151087	Hip1R-cortactin complex	CORUM	CTTN; HIP1R	2017; 9026	2	2
0.0011146093439	0.0185025151087	FLT3LG dimer:FLT3	Reactome	FLT3LG; FLT3	2322; 2323	2	2
0.0011146093439	0.0185025151087	Met_p:Grb2	INOH	MET; GRB2	2885; 4233	2	2
0.0011146093439	0.0185025151087	CoREST-HDAC2 complex	CORUM	RCOR1; HDAC2	3066; 23186	2	2
0.0011146093439	0.0185025151087	IFT20:TRIP11	Reactome	TRIP11; IFT20	9321; 90410	2	2
0.0011146093439	0.0185025151087	DLP1-hFIS1 complex	CORUM	DNM1L; FIS1	10059; 51024	2	2
0.00326975474269	0.0285673309099	BRCA1-HDAC1-HDAC2 complex	CORUM	BRCA1; HDAC2	672; 3066	3	3
0.00326975474269	0.0285673309099	FKBP25/HDAC1/HDAC2	PID	HDAC2; FKBP3	2287; 3066	3	3
0.00326975474269	0.0285673309099	InlB:p-4Y-MET dimer:GRB2-1:CBL	Reactome	MET; GRB2	2885; 4233	3	3
0.00326975474269	0.0285673309099	HGF(dimer)/MET(dimer)/GRB2	PID	MET; GRB2	2885; 4233	3	3
0.00326975474269	0.0285673309099	HGF(dimer)/MET(dimer)/SHIP2	PID	MET; INPPL1	3636; 4233	3	3
0.00326975474269	0.0285673309099	Sema4D:pPlexin-B1:Met	Reactome	MET; SEMA4D	4233; 10507	3	3
0.00326975474269	0.0285673309099	NuMA-LGN-G-alpha-i-1 complex	CORUM	GPSM2; NUMA1	4926; 29899	3	3
0.00326975474269	0.0285673309099	Apoptosis- and splicing-associated protein complex (ASAP-L), SAP18-RNPS1-Acinus-L	CORUM	ACIN1; SAP18	10284; 22985	3	3
0.00326975474269	0.0285673309099	HIF1A-OS9-EGLN1 complex	CORUM	OS9; EGLN1	10956; 54583	3	3
0.00396034581559	0.0328708702694	Spliceosome	CORUM	ZNF207; SRSF6; RBM8A; SRSF3; PRPF19; ACIN1; EFTUD2; PPIL2; MFAP1; PRPF4; LUC7L3; SRRM2	4236; 6428; 6431; 7756; 9128; 9343; 9939; 22985; 23524; 23759; 27339; 51747	148	148
0.00639504324292	0.0337548940827	IQGAP1/CaM	PID	IQGAP1; CALM1	801; 8826	4	4
0.00639504324292	0.0337548940827	43s Ribosome subunit	BioCarta	EIF3A; EIF2S1	1965; 8661	4	4
0.00639504324292	0.0337548940827	HGF:p-4Y-MET dimer:GRB2:CBL	Reactome	MET; GRB2	2885; 4233	4	4
0.00639504324292	0.0337548940827	HGF(dimer)/MET(dimer)/GRB2/EPS15	PID	MET; GRB2	2885; 4233	4	4
0.00639504324292	0.0337548940827	HGF:p-4Y-MET dimer:GRB2-1:p-5Y-GAB1	Reactome	MET; GRB2	2885; 4233	4	4
0.00639504324292	0.0337548940827	HGF:p-4Y-MET dimer:GRB2-1:SOS1	Reactome	MET; GRB2	2885; 4233	4	4
0.00639504324292	0.0337548940827	IKK complex/ELKS	PID	IKBKB; ERC1	3551; 23085	4	4
0.00639504324292	0.0337548940827	HGF(dimer)/MET(dimer)/GAB1/PAK4	PID	PAK4; MET	4233; 10298	4	4
0.00639504324292	0.0337548940827	Sema4D:pPlexin-B1:Met:RAC1-GTP	Reactome	MET; SEMA4D	4233; 10507	4	4
0.00639504324292	0.0337548940827	Sema4D:pPlexin-B1:Met:Rnd1	Reactome	MET; SEMA4D	4233; 10507	4	4
0.00639504324292	0.0337548940827	PPD complex	CORUM	PINK1; PARK7	11315; 65018	4	4
0.00650696753401	0.0337548940827	NuRD/MBD2/PRMT5 Complex	PID	GATAD2B; HDAC2; WDR77	3066; 57459; 79084	12	12
0.00825203987471	0.041198038893	aminoacyl-tRNA synthetase multienzyme complex	Reactome	KARS; AIMP1; MARS	3735; 4141; 9255	13	13
0.0089001460935	0.041198038893	Emerin complex 52	CORUM	PDCD4; HNRNPL; IQGAP1; RBL2	3191; 5934; 8826; 27250	25	25
