p-value	q-value	complex_name	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.79579251448e-08	4.17016215252e-05	Ribosome, cytoplasmic	CORUM	RPS13; RPS12; RPS11; RPL37A; RPS17; RPS16; RPL23A; RPS14; RPL6; RPL7; RPL4; RPL5; RPL18A; RPL3; RPS15A; RPS7; RPS6; RPS5; RPS10; RPS3; RPS2; RPL41; RPS8; RPS18; RPL7A; RPL29; RPL8; RPL24; RPL27; RPL26; UBA52; RPL23; RPL22; RPS26; RPL13A; RPS9; RPLP2; RPL27A; RPL36A; RPS24; RPLP0; RPS23; RPS21; RPS25; RPLP1; RPS28; RPL35A; RPL14; RPL15; RPS4Y1; RPL10; RPL11; RPL12; RPL13; RPS4X; RPS27A; RPL18; RPL19; RPL28; RPS19; RPL38; RPSA; RPL39; RPL36; RPL37; RPL34; RPL35; RPL32; RPL30; RPL31; RPS29; RPL10A; RPS15; RPSAP58	3921; 4736; 6122; 6124; 6125; 6128; 6129; 6130; 6132; 6134; 6135; 6136; 6137; 6138; 6141; 6142; 6143; 6146; 6147; 6152; 6154; 6155; 6156; 6157; 6158; 6159; 6160; 6161; 6164; 6165; 6167; 6168; 6169; 6170; 6171; 6173; 6175; 6176; 6181; 6187; 6188; 6191; 6192; 6193; 6194; 6201; 6202; 6203; 6204; 6205; 6206; 6207; 6208; 6209; 6210; 6217; 6218; 6222; 6223; 6227; 6228; 6229; 6230; 6231; 6233; 6234; 6235; 7311; 9045; 9349; 11224; 23521; 25873; 388524	92	91
1.9573631319e-08	4.17016215252e-05	Nop56p-associated pre-rRNA complex	CORUM	RPL26; ACTG2; GNL3; ILF3; LUC7L2; TCOF1; TRIM24; SLC25A5; RPL14; RPL15; RPL10; RPL11; RPL12; RPL13; RPL18; RPL19; LYAR; ACTA2; RPL37A; RPL8; RPL6; RPL7; RPL4; RPL5; RPL3; RPL7A; TUBA1A; U2AF2; TUBB1; RSL1D1; HIST1H2BM; TOP1; MYBBP1A; RBM28; RPLP2; RPLP1; RPLP0; RPL18A; RPL35A; RPS15A; RPS7; RPS6; RPS2; RPS9; RPS8; BRIX1; RPS15; HNRNPU; RPL13A; HNRNPM; RPL27A; RPL36A; RPS24; RPS23; HNRNPA1; RPS29; SRPK1; EBNA1BP2; RPL10A; FBL; RPS13; RPS12; RPS11; RPS17; RPS16; RPL23A; RPS14; RPS18; RPL29; NOP58; NAP1L1; RPL27; NOP56; RPL23; RPL22; NOLC1; NPM1; RPL28; DDX21; RPL39; RPL36; RPL35; RPL32; RPL30; RPL31; NCL; EEF2; RPL24; TUFM; ILF2	59; 72; 292; 1938; 2091; 3178; 3192; 3608; 3609; 4670; 4673; 4691; 4736; 4869; 6122; 6124; 6125; 6128; 6129; 6130; 6132; 6134; 6135; 6136; 6137; 6138; 6141; 6142; 6143; 6146; 6147; 6152; 6154; 6155; 6156; 6157; 6158; 6159; 6160; 6161; 6165; 6168; 6170; 6173; 6175; 6176; 6181; 6187; 6194; 6201; 6202; 6203; 6205; 6206; 6207; 6208; 6209; 6210; 6217; 6218; 6222; 6228; 6229; 6235; 6732; 6949; 7150; 7284; 7846; 8342; 8805; 9045; 9188; 9221; 9349; 10514; 10528; 10969; 11224; 11338; 23521; 25873; 26156; 26354; 51602; 51631; 55131; 55299; 55646; 81027	115	115
5.18168517638e-06	0.00735972017884	60S ribosomal subunit, cytoplasmic	CORUM	RPL37A; RPL23A; RPL6; RPL7; RPL4; RPL5; RPL18A; RPL3; RPL41; RPL7A; RPL29; RPL8; RPL24; RPL27; RPL26; RPL23; RPL22; RPL13A; RPLP2; RPL27A; RPL36A; RPLP0; RPLP1; RPL35A; RPL14; RPL15; RPL10; RPL11; RPL12; RPL13; RPL18; RPL19; RPL28; RPL38; RPL39; RPL36; RPL37; RPL34; RPL35; RPL32; RPL30; RPL31; UBA52; RPL10A	4736; 6122; 6124; 6125; 6128; 6129; 6130; 6132; 6134; 6135; 6136; 6137; 6138; 6141; 6142; 6143; 6146; 6147; 6152; 6154; 6155; 6156; 6157; 6158; 6159; 6160; 6161; 6164; 6165; 6167; 6168; 6169; 6170; 6171; 6173; 6175; 6176; 6181; 7311; 9045; 9349; 11224; 23521; 25873	53	53
7.749980194e-05	0.0825566640166	BRM-SIN3A complex	CORUM	HDAC1; SMARCC2; HDAC2; SMARCB1; SIN3A; ARID1A; RBBP4; SMARCE1; SMARCC1; SMARCD3; ACTL6A; SMARCD1; SMARCA2; PRMT5; SMARCD2	86; 3065; 3066; 5928; 6595; 6598; 6599; 6601; 6602; 6603; 6604; 6605; 8289; 10419; 25942	15	15
0.000116120061455	0.0989575163723	ECM proteins:Integrin alpha:Integrin beta:Cav-1:Fyn:Shc	INOH	COL10A1; ITGA9; TNC; ACAN; ITGA2; HSPG2; ITGA5; BGN; ITGA7; AGRN; LAMB3; COL2A1; LUM; CAV1; DCN; SHC2; ITGA2B; SHC3; FYN; ITGA6; ITGA8; ITGA1; SHC1; COL19A1; KERA; ITGB1; COL8A2; ITGB3; ITGA3; ELN; ITGB4; ITGB7; ITGB6; COL18A1; CD44; COL9A2; COL9A3; COL9A1; COL4A6; COL4A5; COL4A4; COL4A3; COL4A2; COL4A1; COL16A1; ITGAX; ITGB8; COL7A1; GPC1; SDC1; SDC2; SDC3; SDC4; COL5A1; COL1A2; ITGAM; COL6A1; COL6A2; ITGAD; ITGAE; COL12A1	176; 633; 857; 960; 1278; 1280; 1282; 1284; 1285; 1286; 1287; 1288; 1289; 1291; 1292; 1294; 1296; 1297; 1298; 1299; 1300; 1303; 1307; 1310; 1634; 2006; 2534; 2817; 3339; 3371; 3655; 3672; 3673; 3674; 3675; 3678; 3679; 3680; 3681; 3682; 3684; 3687; 3688; 3690; 3691; 3694; 3695; 3696; 3914; 4060; 6382; 6383; 6385; 6464; 8516; 9672; 11081; 25759; 53358; 80781; 375790	83	83
0.000145759852442	0.103513788543	BRG1-SIN3A complex	CORUM	SMARCC2; SMARCC1; SMARCB1; SIN3A; ARID1A; RBBP4; SMARCE1; HDAC2; SMARCD3; ACTL6A; SMARCD1; PRMT5; SMARCA4; SMARCD2	86; 3066; 5928; 6597; 6598; 6599; 6601; 6602; 6603; 6604; 6605; 8289; 10419; 25942	14	14
0.000243525187152	0.14823726035	40S ribosomal subunit, cytoplasmic	CORUM	RPS13; RPS12; RPS11; RPS10; RPS17; RPS16; RPS15; RPS14; RPS19; RPS18; RPS15A; RPS7; RPS6; RPS5; RPS3; RPS2; RPS9; RPS8; RPS26; RPS24; RPS25; RPS23; RPS21; RPS28; RPS29; RPS4X; RPS27A; RPSA; RPSAP58	3921; 6187; 6188; 6191; 6193; 6194; 6201; 6202; 6203; 6204; 6205; 6206; 6207; 6208; 6209; 6210; 6217; 6218; 6222; 6223; 6227; 6228; 6229; 6230; 6231; 6233; 6234; 6235; 388524	36	35
0.000350492063579	0.186680835364	Integrin signaling protein complex	INOH	COL10A1; ITGA9; TNC; ACAN; ITGA2; HSPG2; VCL; ITGA5; BGN; ITGA7; AGRN; LAMB3; COL2A1; LUM; DCN; ITGA2B; TLN2; ITGA6; TLN1; ITGA8; PXN; ITGA1; COL19A1; KERA; ITGB1; COL8A2; ITGB3; ITGA3; ELN; ITGB4; ITGB7; ITGB6; COL18A1; CD44; COL9A2; COL9A3; COL9A1; COL4A6; COL4A5; COL4A4; COL4A3; COL4A2; COL4A1; COL16A1; ITGAX; ITGB8; COL7A1; GPC1; SDC1; SDC2; SDC3; SDC4; COL5A1; COL1A2; ITGAM; COL6A1; ACTB; COL6A2; ITGAD; ITGAE; COL12A1	60; 176; 633; 960; 1278; 1280; 1282; 1284; 1285; 1286; 1287; 1288; 1289; 1291; 1292; 1294; 1296; 1297; 1298; 1299; 1300; 1303; 1307; 1310; 1634; 2006; 2817; 3339; 3371; 3655; 3672; 3673; 3674; 3675; 3678; 3679; 3680; 3681; 3682; 3684; 3687; 3688; 3690; 3691; 3694; 3695; 3696; 3914; 4060; 5829; 6382; 6383; 6385; 7094; 7414; 8516; 9672; 11081; 80781; 83660; 375790	85	85
0.000515451529788	0.211696622477	BRM-SIN3A-HDAC complex	CORUM	SMARCC2; SMARCC1; SMARCB1; ARID1A; PRMT5; SMARCE1; HDAC2; ACTL6A; SMARCD1; SMARCA2; SIN3A; SMARCD2	86; 3066; 6595; 6598; 6599; 6601; 6602; 6603; 6605; 8289; 10419; 25942	12	12
0.000565409581927	0.211696622477	28S ribosomal subunit, mitochondrial	CORUM	MRPS17; MRPS16; MRPS15; MRPS12; MRPS11; MRPS10; MRPS35; MRPS34; MRPS36; MRPS31; MRPS30; MRPS33; MRPS9; MRPS7; MRPS6; MRPS5; MRPS2; MRPS18B; MRPS18A; DAP3; MRPS28; MRPS26; MRPS24; MRPS25; MRPS21	6183; 7818; 10240; 10884; 28957; 28973; 51021; 51081; 51116; 51373; 51650; 54460; 55168; 55173; 60488; 64432; 64949; 64951; 64960; 64963; 64965; 64968; 64969; 65993; 92259	30	30
