p-value	q-value	complex_name	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.72431666068e-05	0.00485387242156	NUMAC	PINdb	SMARCC2; SMARCB1; SMARCE1; SMARCD1; CARM1	6598; 6601; 6602; 6605; 10498	9	9
3.32457015176e-05	0.00485387242156	NUMAC complex (nucleosomal methylation activator complex)	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1; CARM1	6598; 6601; 6602; 6605; 10498	10	10
7.16762665524e-05	0.00592845049233	Emerin complex 52	CORUM	RBL2; YWHAQ; C1QBP; HNRNPK; HNRNPL; PDCD4; HDGF	708; 3068; 3190; 3191; 5934; 10971; 27250	25	25
8.12116505799e-05	0.00592845049233	emerin C52	PINdb	YWHAQ; C1QBP; HNRNPK; HNRNPL; PDCD4; HDGF	708; 3068; 3190; 3191; 10971; 27250	18	18
0.000221764453064	0.00886292032221	hSWI/SNF	BioCarta	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	8	8
0.000324169313588	0.00886292032221	KSR1-BRAF-MEK complex	CORUM	KSR1; MAP2K1; BRAF	673; 5604; 8844	4	4
0.000385381482229	0.00886292032221	BRAF-RAF1-14-3-3 complex	CORUM	YWHAB; YWHAQ; BRAF; YWHAG	673; 7529; 7532; 10971	9	9
0.000385381482229	0.00886292032221	BAF complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	9	9
0.000385381482229	0.00886292032221	BAF complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	9	9
0.000385381482229	0.00886292032221	BRG1-associated complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	9	9
0.000385381482229	0.00886292032221	PBAF complex (Polybromo- and BAF containing complex)	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	9	9
0.00062013866937	0.00886292032221	Ras:GTP:Raf	INOH	YWHAB; YWHAQ; NRAS; YWHAG	4893; 7529; 7532; 10971	10	10
0.00062013866937	0.00886292032221	BAF	PINdb	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	10	10
0.00062013866937	0.00886292032221	glucocorticoid/glucocorticoid receptor/glucocorticoid/glucocorticoid receptor/hSWI/SNF	BioCarta	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	10	10
0.00062013866937	0.00886292032221	EBAFa complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	10	10
0.00062013866937	0.00886292032221	EBAFb complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	10	10
0.00062013866937	0.00886292032221	BRM-associated complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	10	10
0.00062013866937	0.00886292032221	PBAF complex (Polybromo- and BAF containing complex)	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	10	10
0.00062013866937	0.00886292032221	Fl-Brg1	PINdb	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	10	10
0.000784010696927	0.00886292032221	MAP2K1-BRAF-RAF1-YWHAE-KSR1 complex	CORUM	KSR1; MAP2K1; BRAF	673; 5604; 8844	5	5
0.000784010696927	0.00886292032221	53BP1-containing complex	CORUM	XRCC5; TP53BP1; XRCC6	2547; 7158; 7520	5	5
0.000844359036571	0.00886292032221	Fl-BAF57	PINdb	SMARCC2; WDR77; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605; 79084	18	18
0.000940926472563	0.00886292032221	EBAFb	PINdb	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	11	11
0.000940926472563	0.00886292032221	BAF complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	11	11
0.000940926472563	0.00886292032221	RNA polymerase II complex, chromatin structure modifying	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	11	11
0.000940926472563	0.00886292032221	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	11	11
0.000940926472563	0.00886292032221	BAF complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	11	11
0.000940926472563	0.00886292032221	SWI/SNF	PINdb	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	11	11
0.000940926472563	0.00886292032221	Brm-associated complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	11	11
0.000940926472563	0.00886292032221	Brg1-associated complex I	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	11	11
0.000940926472563	0.00886292032221	PBAF complex (Polybromo- and BAF containing complex)	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	11	11
0.00110508218432	0.00977830296432	Emerin complex 25	CORUM	YWHAB; BANF1; HNRNPK; G3BP1; SSB	3190; 6741; 7529; 8815; 10146	19	19
0.00110508218432	0.00977830296432	Fl-BAF45	PINdb	SMARCC2; WDR77; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605; 79084	19	19
0.00136283217024	0.0109883548078	PBAF complex (Polybromo- and BAF containing complex)	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	12	12
0.00136283217024	0.0109883548078	PBAF	PINdb	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	12	12
0.00136283217024	0.0109883548078	BRM-SIN3A-HDAC complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	12	12
0.00151702963029	0.0109883548078	pRb2/p130-multimolecular complex (RB2, E2F4, HDAC1, SUV39H1, P300)	CORUM	EP300; E2F4; RBL2	1874; 2033; 5934	6	6
0.00190091214036	0.0109883548078	BAF complex	CORUM	SMARCC2; SMARCB1; SMARCE1; SMARCD1	6598; 6601; 6602; 6605	13	13
